Quarter,Time,Tm,Detail,SDG,ATL
2.0,10:24,Falcons,Alge Crumpler 19 yard pass from Michael Vick (Jay Feely kick),0,7
,1:18,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,7
,0:18,Chargers,Eric Parker 17 yard pass from Drew Brees (Nate Kaeding kick),14,7
3.0,5:10,Chargers,Nate Kaeding 53 yard field goal,17,7
4.0,13:09,Falcons,Michael Vick 14 yard rush (Jay Feely kick),17,14
,10:12,Falcons,Dez White 32 yard pass from Michael Vick (Jay Feely kick),17,21
,6:01,Chargers,Nate Kaeding 28 yard field goal,20,21
