Quarter,Time,Tm,Detail,ARI,ATL
1.0,8:25,Cardinals,David Johnson 1 yard rush (Zane Gonzalez kick),7,0
,6:11,Falcons,Deion Jones 41 yard interception return (Matt Bryant kick),7,7
,0:37,Falcons,Matt Bryant 22 yard field goal,7,10
2.0,12:32,Falcons,Matt Ryan 1 yard rush (Matt Bryant kick),7,17
,5:16,Falcons,Matt Bryant 33 yard field goal,7,20
,0:13,Falcons,Julio Jones 21 yard pass from Matt Ryan (pass failed),7,26
3.0,5:39,Falcons,Tevin Coleman 43 yard rush (Matt Bryant kick),7,33
4.0,11:14,Falcons,Justin Hardy 5 yard pass from Matt Ryan (Matt Bryant kick),7,40
,3:14,Cardinals,Trent Sherfield 7 yard pass from Mike Glennon (Zane Gonzalez kick),14,40
