Unnamed: 0,DAL,PHI
First Downs,15,16
Rush-Yds-TDs,19-87-0,36-137-1
Cmp-Att-Yd-TD-INT,23-41-233-0-1,12-21-175-2-0
Sacked-Yards,4-22,1-9
Net Pass Yards,211,166
Total Yards,298,303
Fumbles-Lost,4-4,1-1
Turnovers,5,1
Penalties-Yards,5-46,0-0
Third Down Conv.,5-14,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,29:05,30:55
