Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,Nick Folk kicks off 59 yards,0.000,1.600
1,15:00,1,10,PHI 40,0,0,Donovan McNabb pass incomplete short right intended for DeSean Jackson (defended by Terence Newman),1.600,1.050
1,14:57,2,10,PHI 40,0,0,Donovan McNabb pass complete deep right to Brent Celek for 20 yards (tackle by Keith Davis),1.050,2.920
1,14:31,1,10,DAL 40,0,0,Donovan McNabb pass incomplete deep middle intended for DeSean Jackson,2.920,2.370
1,14:19,2,10,DAL 40,0,0,Brian Westbrook left tackle for 2 yards (tackle by Chris L. Canty),2.370,1.950
1,13:38,3,8,DAL 38,0,0,"Donovan McNabb pass complete short middle to Brian Westbrook for 7 yards (tackle by Bradie James). Brian Westbrook fumbles (forced by Bradie James), recovered by Terence Newman at DAL-25 (tackle by Todd Herremans)",1.950,-0.610
1,12:54,1,10,DAL 25,0,0,Tashard Choice up the middle for 2 yards (tackle by Juqua Parker),0.610,0.330
1,12:39,2,8,DAL 27,0,0,Tony Romo pass complete short middle to Jason Witten for 3 yards (tackle by Quintin Mikell),0.330,0.040
1,12:06,3,5,DAL 30,0,0,Tony Romo pass incomplete short left intended for Patrick Crayton,0.040,-1.370
1,12:00,4,5,DAL 30,0,0,Sam Paulescu punts 45 yards,-1.370,-1.990
1,11:51,1,10,PHI 46,0,0,Brian Westbrook up the middle for 2 yards (tackle by Stephen Bowen),1.990,1.720
1,11:18,2,8,PHI 48,0,0,Correll Buckhalter right tackle for 9 yards (tackle by Keith Davis),1.720,2.720
1,10:48,1,10,DAL 43,0,0,Brian Westbrook right tackle for 16 yards (tackle by Ken Hamlin),2.720,3.780
1,10:13,1,10,DAL 27,0,0,Kyle Eckel up the middle for 2 yards (tackle by DeMarcus Ware),3.780,3.500
1,9:39,2,8,DAL 25,0,0,Donovan McNabb pass incomplete short left intended for Brian Westbrook,3.500,2.810
1,9:34,3,8,DAL 25,0,0,Donovan McNabb up the middle for 3 yards (tackle by Bradie James),2.810,2.040
1,8:54,4,5,DAL 22,0,3,David Akers 40 yard field goal good,2.040,3.000
1,,,,PHI 30,0,3,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,8:50,1,10,DAL 20,0,3,Tashard Choice right tackle for 4 yards (tackle by Akeem Jordan),0.280,0.270
1,8:12,2,6,DAL 24,0,3,Tony Romo pass complete short left to Terrell Owens for 5 yards (tackle by Stewart Bradley),0.270,0.230
1,7:31,3,1,DAL 29,0,3,Tashard Choice left guard for 2 yards (tackle by Akeem Jordan),0.230,1.000
1,6:47,1,10,DAL 31,0,3,Tony Romo pass complete short right to Martellus Bennett for 6 yards (tackle by Brian Dawkins),1.000,1.270
1,6:05,2,4,DAL 37,0,3,Tashard Choice up the middle for 3 yards (tackle by Juqua Parker),1.270,0.960
1,5:24,3,1,DAL 40,0,3,Tashard Choice left guard for 3 yards (tackle by Juqua Parker),0.960,1.800
1,4:45,1,10,DAL 43,0,3,Terrell Owens for 7 yards,1.800,2.200
1,4:17,2,3,,0,3,Marion Barber right end for 6 yards (tackle by Chris Gocong and Akeem Jordan),2.200,2.650
1,3:31,1,10,PHI 44,0,3,Tony Romo pass incomplete short left intended for Patrick Crayton,2.650,2.110
1,3:26,2,10,PHI 44,0,3,Marion Barber right end for 3 yards (tackle by Mike Patterson and Brodrick Bunkley),2.110,1.820
1,2:45,3,7,PHI 41,0,3,Tony Romo pass complete short right to Jason Witten for 17 yards,1.820,3.970
1,2:10,1,10,PHI 24,0,3,Tony Romo pass incomplete short right,3.970,3.430
1,2:05,2,10,PHI 24,0,3,Tony Romo pass complete short left to Patrick Crayton for 9 yards (tackle by Brian Dawkins),3.430,4.170
1,1:22,3,1,PHI 15,0,3,--,4.170,2.240
1,0:41,4,5,PHI 19,3,3,Nick Folk 37 yard field goal good,2.240,3.000
1,,,,DAL 30,3,3,"Nick Folk kicks off 55 yards, returned by Quintin Demps for 17 yards (tackle by Carlos Polk)",0.000,1.070
1,0:29,1,10,PHI 32,3,3,Brian Westbrook up the middle for 3 yards (tackle by Bradie James),1.070,0.930
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 35,3,3,Donovan McNabb pass incomplete deep left intended for Greg Lewis,0.930,0.230
2,14:54,3,7,PHI 35,3,3,Donovan McNabb pass complete short right to Correll Buckhalter for 59 yards (tackle by Ken Hamlin),0.230,5.830
2,13:56,,,,3,3,Timeout #1 by Philadelphia Eagles,0.000,5.830
2,13:56,1,6,DAL 6,3,3,Brian Westbrook up the middle for 5 yards (tackle by Bradie James and Ken Hamlin),5.830,5.910
2,13:19,2,1,DAL 1,3,3,Donovan McNabb up the middle for no gain (tackle by Marcus R. Spears),5.910,5.170
2,12:28,3,1,DAL 1,3,9,"Donovan McNabb up the middle for 1 yard, touchdown",5.170,7.000
2,,,,DAL 2,3,10,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,3,10,"David Akers kicks off 68 yards, returned by Miles Austin for 36 yards (tackle by Quintin Mikell)",0.000,1.470
2,12:09,1,10,DAL 38,3,10,Tony Romo pass complete short right to Jason Witten for -1 yards (tackle by Akeem Jordan),1.470,0.790
2,11:22,2,11,DAL 37,3,10,Tony Romo pass incomplete short right intended for Martellus Bennett (defended by Trent Cole),0.790,0.100
2,11:16,3,11,DAL 37,3,10,Tony Romo pass incomplete deep left intended for Terrell Owens,0.100,-0.910
2,11:08,4,11,DAL 37,3,10,Sam Paulescu punts 40 yards,-0.910,-0.480
