Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Nick Novak kicks off 68 yards, returned by Brendan Langley for 12 yards (tackle by Michael Davis)",0.000,0.380
1,14:52,1,10,DEN 9,0,0,C.J. Anderson middle for 3 yards (tackle by Kyle Emanuel and Korey Toomer),-0.380,-0.560
1,14:21,2,7,DEN 12,0,0,C.J. Anderson left tackle for 3 yards (tackle by Jahleel Addae),-0.560,-0.720
1,13:42,3,4,DEN 15,0,0,"Trevor Siemian pass complete deep left to A.J. Derby for 23 yards (tackle by Adrian Phillips). A.J. Derby fumbles (forced by Adrian Phillips), recovered by Jatavis Brown at DEN-45 (tackle by Jordan Taylor)",-0.720,-2.590
1,13:31,1,10,DEN 45,0,0,Philip Rivers pass complete short right to Hunter Henry for 34 yards (tackle by Aqib Talib),2.590,4.840
1,12:48,1,10,DEN 11,0,0,Philip Rivers pass incomplete short right intended for Keenan Allen,4.840,4.140
1,12:44,2,10,DEN 11,0,0,"Philip Rivers pass incomplete short right intended for Hunter Henry. Penalty on Darian Stewart: Defensive Pass Interference, 10 yards (no play)",4.140,6.970
1,12:38,1,1,DEN 1,0,0,Melvin Gordon left tackle for no gain (tackle by Brandon Marshall and Todd Davis),6.970,5.910
1,12:06,2,1,DEN 1,0,0,Melvin Gordon left tackle for no gain (tackle by Shaquil Barrett),5.910,5.170
1,11:29,3,1,DEN 1,0,0,Melvin Gordon middle for no gain (tackle by Todd Davis and Brandon Marshall),5.170,3.550
1,10:54,4,1,DEN 1,0,0,Melvin Gordon middle for no gain (tackle by Todd Davis and Will Parks). Penalty on DEN: Unsportsmanlike Conduct,3.550,0.380
1,10:51,1,10,DEN 1,0,0,Andy Janovich left end for 3 yards (tackle by Hayes Pullard),-0.380,-0.560
1,10:14,2,7,DEN 4,0,0,Trevor Siemian pass incomplete short left intended for Demaryius Thomas (defended by Jahleel Addae),-0.560,-1.070
1,10:09,3,7,DEN 4,0,0,Trevor Siemian left end for 8 yards (tackle by Chris McCain),-1.070,-0.350
1,9:27,1,10,DEN 12,0,0,C.J. Anderson left end for 2 yards (tackle by Trevor Williams),-0.350,-0.610
1,8:53,2,8,DEN 14,0,0,Trevor Siemian pass complete short left to Jamaal Charles for 7 yards (tackle by Hayes Pullard),-0.610,-0.370
1,8:14,3,1,DEN 21,0,0,Jamaal Charles left end for -2 yards (tackle by Jahleel Addae),-0.370,-2.140
1,7:44,4,3,DEN 19,0,6,"Riley Dixon punts 46 yards, returned by Travis Benjamin for 65 yards, touchdown",-2.140,-7.000
1,,,,DEN 15,0,7,Nick Novak kicks extra point good,,
1,7:27,,,LAC 35,0,7,"Nick Novak kicks off 69 yards, returned by Brendan Langley for 20 yards (tackle by Austin Ekeler)",0.000,0.000
1,7:21,,,,,,Timeout #1 by Los Angeles Chargers,0.000,0.140
1,7:21,1,10,DEN 16,0,7,Trevor Siemian pass complete short left to Bennie Fowler for 4 yards,-0.140,0.010
1,6:46,2,6,DEN 20,0,7,C.J. Anderson left tackle for 3 yards (tackle by Adrian Phillips),0.010,-0.450
1,6:07,3,3,DEN 23,0,7,"Penalty on A.J. Derby: False Start, 5 yards (no play)",-0.450,-1.070
1,5:46,3,8,DEN 18,0,7,Trevor Siemian pass incomplete short right intended for Hunter Sharp,-1.070,-2.240
