Unnamed: 0,DEN,LAC
First Downs,12,14
Rush-Yds-TDs,19-69-0,26-80-0
Cmp-Att-Yd-TD-INT,25-35-207-0-1,15-26-183-2-0
Sacked-Yards,5-25,3-21
Net Pass Yards,182,162
Total Yards,251,242
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,10-68,9-81
Third Down Conv.,3-14,3-12
Fourth Down Conv.,0-2,0-1
Time of Possession,31:04,28:56
