Quarter,Time,Tm,Detail,DEN,LAC
1,7:27,Chargers,Travis Benjamin 65 yard punt return (Nick Novak kick),0,7
2,7:07,Chargers,Austin Ekeler 1 yard pass from Philip Rivers (Nick Novak kick),0,14
4,5:42,Chargers,Travis Benjamin 42 yard pass from Philip Rivers (Nick Novak kick),0,21
