Unnamed: 0,PIT,JAX
First Downs,20,12
Rush-Yds-TDs,28-111-0,15-56-0
Cmp-Att-Yd-TD-INT,26-36-273-1-0,22-36-191-0-2
Sacked-Yards,4-12,1-4
Net Pass Yards,261,187
Total Yards,372,243
Fumbles-Lost,1-1,3-0
Turnovers,1,2
Penalties-Yards,7-50,4-34
Third Down Conv.,8-16,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,35:17,24:43
