Quarter,Time,Tm,Detail,PIT,JAX
1.0,5:17,Jaguars,Josh Scobee 43 yard field goal,0,3
2.0,12:35,Steelers,Shaun Suisham 24 yard field goal,3,3
,1:53,Steelers,Michael Palmer 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,3
,0:09,Jaguars,Josh Scobee 35 yard field goal,10,6
3.0,3:16,Jaguars,Josh Scobee 36 yard field goal,10,9
4.0,11:32,Steelers,Brice McCain 22 yard interception return (Shaun Suisham kick),17,9
