Quarter,Time,Tm,Detail,HOU,BAL
1.0,12:24,Texans,Neil Rackers 40 yard field goal,3,0
,9:51,Ravens,Kris Wilson 1 yard pass from Joe Flacco (Billy Cundiff kick),3,7
,6:02,Ravens,Billy Cundiff 48 yard field goal,3,10
,1:08,Ravens,Anquan Boldin 10 yard pass from Joe Flacco (Billy Cundiff kick),3,17
2.0,11:42,Texans,Neil Rackers 33 yard field goal,6,17
,4:48,Texans,Arian Foster 1 yard rush (Neil Rackers kick),13,17
4.0,2:52,Ravens,Billy Cundiff 44 yard field goal,13,20
