Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA
2,13:53,2,7,BAL 29,3,17,T.J. Yates pass complete short right to Arian Foster for -1 yards (tackle by Bernard Pollard),3.310,2.480
2,13:10,3,8,BAL 30,3,17,T.J. Yates pass complete deep middle to Owen Daniels for 17 yards (tackle by Bernard Pollard and Dannell Ellerbe),2.480,4.710
2,12:34,1,10,BAL 13,3,17,Arian Foster left tackle for 3 yards (tackle by Cory Redding and Brandon McKinney),4.710,4.580
2,12:00,2,7,BAL 10,3,17,T.J. Yates pass incomplete short right intended for Andre Johnson (defended by Lardarius Webb),4.580,0.000
2,11:55,,,,3,17,Timeout #1 by Houston Texans,0.000,3.650
2,11:55,3,7,BAL 10,3,17,T.J. Yates pass incomplete short right intended for Kevin Walter,3.650,2.760
2,11:46,4,7,BAL 10,3,17,"Penalty on Shaun Cody: False Start, 5 yards (no play)",2.760,2.440
2,11:46,4,12,BAL 15,6,17,Neil Rackers 33 yard field goal good,2.440,3.000
2,11:42,,,HOU 35,6,17,"Neil Rackers kicks off 71 yards, touchback",0.000,0.280
2,11:42,1,10,BAL 20,6,17,Joe Flacco pass incomplete short middle intended for Ray Rice,0.280,-0.270
2,11:37,2,10,BAL 20,6,17,Ray Rice right guard for 8 yards (tackle by Connor Barwin),-0.270,0.100
2,10:55,3,2,BAL 28,6,17,Joe Flacco pass incomplete deep right intended for Dennis Pitta,0.100,-1.500
2,10:49,4,2,BAL 28,6,17,"Sam Koch punts 52 yards, returned by Jacoby Jones for 4 yards (tackle by Brendon Ayanbadejo). Penalty on Sherrick McManis: Illegal Block Above the Waist, 10 yards",-1.500,0.280
2,10:37,1,10,HOU 14,6,17,Arian Foster left end for 28 yards (tackle by Ed Reed),-0.280,1.730
,,,,,,,"BAL challenged the runner was in bounds ruling, and the play was upheld.",,
2,9:59,1,10,HOU 42,6,17,T.J. Yates pass complete short left to Andre Johnson for 12 yards (tackle by Cary Williams),1.730,2.520
2,9:39,1,10,BAL 46,6,17,Arian Foster for 1 yard (tackle by Ed Reed),2.520,2.110
2,9:08,2,9,BAL 45,6,17,T.J. Yates pass incomplete short right intended for James Casey (defended by Lardarius Webb),2.110,1.420
2,9:03,3,9,BAL 45,6,17,T.J. Yates pass complete short right to Andre Johnson for 13 yards (tackle by Jimmy Smith),1.420,3.450
2,8:26,1,10,BAL 32,6,17,Arian Foster left guard for 14 yards (tackle by Lardarius Webb),3.450,4.370
2,7:46,1,10,BAL 18,6,17,Arian Foster left guard for 6 yards (tackle by Ray Lewis),4.370,4.810
2,7:10,2,4,BAL 12,6,17,"Penalty on Antoine Caldwell: False Start, 5 yards (no play)",4.810,3.940
2,7:10,2,9,BAL 17,6,17,T.J. Yates pass incomplete deep right intended for Andre Johnson (defended by Ed Reed),3.940,3.170
2,6:44,3,9,BAL 17,6,17,T.J. Yates pass complete short right to Arian Foster for 12 yards (tackle by Ed Reed),3.170,6.060
2,6:06,1,5,BAL 5,6,17,Arian Foster right tackle for 4 yards (tackle by Terrell Suggs and Bernard Pollard),6.060,5.910
2,5:30,2,1,BAL 1,6,17,Arian Foster right tackle for no gain (tackle by Jameel McClain and Brandon McKinney),5.910,0.000
2,4:52,,,,6,17,Timeout #2 by Houston Texans,0.000,5.170
2,4:52,3,1,BAL 1,12,17,"Arian Foster right end for 1 yard, touchdown",5.170,7.000
2,4:52,,,BAL 2,13,17,Neil Rackers kicks extra point good,0.000,0.000
2,4:48,,,HOU 35,13,17,"Neil Rackers kicks off 74 yards, touchback",0.000,0.280
2,4:48,1,10,BAL 20,13,17,Ricky Williams right tackle for 5 yards (tackle by Brooks Reed and Shaun Cody),0.280,0.410
2,4:11,2,5,BAL 25,13,17,Ricky Williams right tackle for 4 yards (tackle by Shaun Cody and Brooks Reed),0.410,0.230
2,3:33,3,1,BAL 29,13,17,Ricky Williams right tackle for 5 yards (tackle by Brooks Reed),0.230,1.200
2,2:53,1,10,BAL 34,13,17,Ray Rice up the middle for 5 yards (tackle by Antonio Smith and Brian Cushing),1.200,1.330
2,2:17,2,5,BAL 39,13,17,Joe Flacco pass complete deep right to Anquan Boldin for 28 yards (tackle by Kareem Jackson),1.330,3.380
2,2:00,1,10,HOU 33,13,17,Joe Flacco pass complete short left to Ray Rice for no gain,3.380,2.840
2,1:28,2,10,HOU 33,13,17,Joe Flacco pass incomplete deep left intended for Anquan Boldin (defended by Kareem Jackson),2.840,2.150
2,1:21,3,10,HOU 33,13,17,Joe Flacco sacked by J.J. Watt for -8 yards,2.150,0.530
2,0:38,4,18,HOU 41,13,17,"Sam Koch punts 41 yards, touchback",0.530,-0.280
,,,,,,,"Replay Assistant challenged the touchback ruling, and the original play was overturned.",,
2,0:28,1,10,HOU 20,13,17,T.J. Yates kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,13,17,"Neil Rackers kicks off 73 yards, touchback",0.000,0.280
3,15:00,1,10,BAL 20,13,17,Ray Rice right guard for 1 yard (tackle by Brian Cushing),0.280,-0.130
3,14:29,2,9,BAL 21,13,17,Ray Rice right tackle for 3 yards (tackle by J.J. Watt),-0.130,-0.430
3,13:52,3,6,BAL 24,13,17,Joe Flacco sacked by Brooks Reed for -5 yards,-0.430,-2.140
3,13:14,4,11,BAL 19,13,17,"Sam Koch punts 55 yards, returned by Jacoby Jones for -6 yards (tackle by Haruki Nakamura)",-2.140,-0.280
3,13:03,1,10,HOU 20,13,17,Arian Foster left tackle for 8 yards (tackle by Cory Redding),0.280,0.810
3,12:32,2,2,HOU 28,13,17,Arian Foster right guard for no gain (tackle by Terrence Cody and Haloti Ngata),0.810,0.100
3,11:59,3,2,HOU 28,13,17,T.J. Yates pass incomplete short right intended for James Casey,0.100,-1.500
3,11:52,4,2,HOU 28,13,17,"Matt Turk punts 41 yards, fair catch by Lardarius Webb",-1.500,-1.000
3,11:45,1,10,BAL 31,13,17,Ray Rice left guard for -1 yards (tackle by J.J. Watt),1.000,0.320
3,11:05,2,11,BAL 30,13,17,Joe Flacco sacked by J.J. Watt for -8 yards,0.320,-1.420
3,10:28,3,19,BAL 22,13,17,Joe Flacco pass complete short right to Ed Dickson for 14 yards (tackle by Antonio Smith and Danieal Manning),-1.420,-0.980
3,9:48,4,5,BAL 36,13,17,"Sam Koch punts 48 yards, returned by Jacoby Jones for 6 yards (tackle by Emanuel Cook)",-0.980,-0.410
3,9:35,1,10,HOU 22,13,17,Arian Foster left tackle for 2 yards (tackle by Ray Lewis),0.410,0.140
3,9:04,2,8,HOU 24,13,17,T.J. Yates pass complete deep left to Andre Johnson for 17 yards (tackle by Dannell Ellerbe),0.140,1.660
3,8:24,1,10,HOU 41,13,17,Arian Foster left guard for 4 yards (tackle by Jarret Johnson),1.660,1.660
3,7:50,2,6,HOU 45,13,17,T.J. Yates pass complete deep middle to Kevin Walter for 19 yards (tackle by Ed Reed),1.660,3.180
3,7:15,1,10,BAL 36,13,17,Arian Foster right tackle for 2 yards (tackle by Terrell Suggs),3.180,2.910
3,6:43,2,8,BAL 34,13,17,Arian Foster left tackle for 2 yards (tackle by Terrence Cody and Terrell Suggs),2.910,2.480
3,6:04,3,6,BAL 32,13,17,T.J. Yates pass incomplete short middle intended for Andre Johnson (defended by Terrell Suggs),2.480,1.250
3,5:59,4,6,BAL 32,13,17,Neil Rackers 50 yard field goal no good,1.250,-1.600
3,5:54,1,10,BAL 40,13,17,Joe Flacco pass complete short right to Dennis Pitta for 16 yards (tackle by Danieal Manning),1.600,2.650
3,5:14,1,10,HOU 44,13,17,Joe Flacco pass incomplete short right intended for Anquan Boldin (defended by Brian Cushing),2.650,2.110
3,5:10,2,10,HOU 44,13,17,Ricky Williams right tackle for 5 yards (tackle by Brooks Reed and Shaun Cody),2.110,2.080
3,4:22,3,5,HOU 39,13,17,Joe Flacco pass complete deep right to Lee Evans for 30 yards (tackle by Kareem Jackson). Penalty on Danieal Manning: Defensive Offside (Declined),2.080,5.140
3,4:01,1,9,HOU 9,13,17,Ray Rice left guard for 5 yards (tackle by Danieal Manning and Brian Cushing),5.140,5.340
3,3:27,2,4,HOU 4,13,17,"Ray Rice for no gain. Ray Rice fumbles, recovered by Ben Grubbs at HOU-2",5.340,4.950
3,2:45,3,2,HOU 2,13,17,Ray Rice right guard for 1 yard (tackle by Brian Cushing and J.J. Watt),4.950,0.000
3,1:59,,,,13,17,Timeout #1 by Baltimore Ravens,0.000,3.550
3,1:59,4,1,HOU 1,13,17,Ray Rice left guard for no gain (tackle by Tim Dobbins),3.550,0.380
3,1:53,1,10,HOU 1,13,17,T.J. Yates pass incomplete deep left intended for Andre Johnson,-0.380,-0.780
3,1:47,2,10,HOU 1,13,17,Arian Foster left tackle for 2 yards (tackle by Jarret Johnson),-0.780,-1.190
3,1:08,3,8,HOU 3,13,17,Arian Foster right tackle for 1 yard (tackle by Terrell Suggs and Bernard Pollard),-1.190,-2.490
3,0:32,4,7,HOU 4,13,17,"Matt Turk punts 45 yards, fair catch by Lardarius Webb",-2.490,-2.320
3,0:25,1,10,HOU 49,13,17,Ray Rice right guard for 4 yards (tackle by Danieal Manning and DeMeco Ryans),2.320,2.320
Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,HOU 45,13,17,Joe Flacco pass complete short right to Ray Rice for -4 yards (tackle by DeMeco Ryans),2.320,1.090
4,14:21,3,10,HOU 49,13,17,Joe Flacco pass complete short right to Ray Rice for 4 yards (tackle by Brooks Reed),1.090,0.270
4,13:40,4,6,HOU 45,13,17,"Sam Koch punts 45 yards, touchback",0.270,-0.280
4,13:30,1,10,HOU 20,13,17,Arian Foster right guard for 6 yards (tackle by Ray Lewis),0.280,0.540
4,13:01,2,4,HOU 26,13,17,Arian Foster right guard for 7 yards (tackle by Lardarius Webb),0.540,1.140
4,12:29,1,10,HOU 33,13,17,Arian Foster right guard for 1 yard (tackle by Brandon McKinney),1.140,0.730
4,11:54,2,9,HOU 34,13,17,T.J. Yates pass incomplete short left intended for Ben Tate,0.730,0.040
4,11:48,3,9,HOU 34,13,17,T.J. Yates pass complete short right to Kevin Walter for 6 yards (tackle by Bernard Pollard),0.040,-0.720
4,11:16,4,3,HOU 40,13,17,"Matt Turk punts 35 yards, out of bounds",-0.720,-0.610
4,11:07,1,10,BAL 25,13,17,Ricky Williams left tackle for 3 yards (tackle by J.J. Watt and Shaun Cody),0.610,0.470
4,10:29,2,7,BAL 28,13,17,Joe Flacco pass incomplete short right intended for Ed Dickson (defended by Danieal Manning),0.470,-0.230
4,10:22,3,7,BAL 28,13,17,Joe Flacco sacked by Brooks Reed and J.J. Watt for -12 yards,-0.230,-2.390
4,9:44,4,19,BAL 16,13,17,"Sam Koch punts 51 yards, returned by Jacoby Jones for -2 yards (tackle by Danny Gorrer)",-2.390,-1.000
4,9:34,1,10,HOU 31,13,17,T.J. Yates pass complete deep right to Andre Johnson for 19 yards (tackle by Lardarius Webb),1.000,2.260
4,8:57,1,10,HOU 50,13,17,T.J. Yates pass complete short left to Arian Foster for -7 yards (tackle by Ray Lewis),2.260,0.770
4,8:11,2,17,HOU 43,13,17,"Arian Foster up the middle for 2 yards (tackle by Haloti Ngata). Arian Foster fumbles (forced by Haloti Ngata), recovered by Jacoby Jones at HOU-48",0.770,0.760
4,7:28,3,12,HOU 48,13,17,T.J. Yates pass incomplete deep middle intended for Kevin Walter is intercepted by Lardarius Webb at BAL-29,0.760,-0.870
4,7:21,1,10,BAL 29,13,17,Ray Rice left tackle for 2 yards (tackle by Danieal Manning and Brian Cushing),0.870,0.600
4,6:45,2,8,BAL 31,13,17,Joe Flacco pass complete short middle to Dennis Pitta for 13 yards (tackle by Brian Cushing),0.600,1.860
4,5:58,1,10,BAL 44,13,17,Joe Flacco pass complete short right to Torrey Smith for 9 yards (tackle by Johnathan Joseph),1.860,2.530
4,5:14,2,1,HOU 47,13,17,Vonta Leach up the middle for 1 yard (tackle by J.J. Watt and DeMeco Ryans),2.530,2.520
4,4:30,1,10,HOU 46,13,17,Ray Rice right end for 1 yard (tackle by J.J. Watt and Brian Cushing),2.520,2.110
4,3:50,2,9,HOU 45,13,17,Joe Flacco pass complete short right to Anquan Boldin for 14 yards (tackle by Kareem Jackson),2.110,3.510
4,3:09,1,10,HOU 31,13,17,Ray Rice up the middle for 5 yards (tackle by Danieal Manning and Brian Cushing),3.510,0.000
4,3:04,,,,13,17,Timeout #1 by Houston Texans,0.000,3.640
4,3:04,2,5,HOU 26,13,17,Joe Flacco pass incomplete short right intended for Anquan Boldin,3.640,2.940
4,3:01,3,5,HOU 26,13,17,Joe Flacco pass incomplete short middle intended for Ed Dickson,2.940,1.790
4,2:56,4,5,HOU 26,13,20,Billy Cundiff 44 yard field goal good,1.790,3.000
4,2:52,,,BAL 35,13,20,"Billy Cundiff kicks off 65 yards, returned by Danieal Manning for 28 yards (tackle by Albert McClellan)",0.000,0.810
4,2:44,1,10,HOU 28,13,20,T.J. Yates pass complete deep left to Andre Johnson for 18 yards (tackle by Cary Williams),0.810,1.990
4,2:17,1,10,HOU 46,13,20,T.J. Yates pass complete short middle to Andre Johnson for 16 yards (tackle by Ed Reed),1.990,3.050
4,2:00,1,10,BAL 38,13,20,T.J. Yates pass incomplete deep right intended for Andre Johnson is intercepted by Ed Reed at BAL-4,3.050,0.380
4,1:51,1,10,BAL 4,13,20,Ray Rice left end for 9 yards (tackle by Glover Quin),-0.380,0.000
4,1:44,,,,13,20,Timeout #2 by Houston Texans,0.000,-0.120
4,1:44,2,1,BAL 13,13,20,Ray Rice right guard for no gain (tackle by Brian Cushing and DeMeco Ryans),-0.120,0.000
,,,,,,,"Replay Assistant challenged the first down ruling, and the original play was overturned.",,
4,1:38,,,,13,20,Timeout #3 by Houston Texans,0.000,-0.370
4,1:38,3,1,BAL 13,13,20,Vonta Leach left tackle for no gain (tackle by Danieal Manning),-0.370,0.000
4,0:53,,,,13,20,Timeout #2 by Baltimore Ravens,0.000,-2.490
4,0:53,4,1,BAL 13,13,20,Sam Koch punts 39 yards,-2.490,-2.130
4,0:45,1,10,HOU 48,13,20,T.J. Yates pass complete short left to Owen Daniels for 9 yards (tackle by Ray Lewis),2.130,2.800
4,0:28,2,1,BAL 43,13,20,T.J. Yates pass incomplete short right intended for Owen Daniels (defended by Pernell McPhee),2.800,2.080
4,0:24,3,1,BAL 43,13,20,T.J. Yates pass incomplete short left intended for Kevin Walter,2.080,0.400
4,0:20,4,1,BAL 43,13,20,T.J. Yates pass incomplete deep right intended for Kevin Walter (defended by Ed Reed),0.400,-1.860
4,0:11,1,10,BAL 44,13,20,Joe Flacco kneels for -1 yards,1.860,1.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
