Unnamed: 0,HOU,BAL
First Downs,16,11
Rush-Yds-TDs,28-131-1,31-87-0
Cmp-Att-Yd-TD-INT,17-35-184-0-3,14-27-176-2-0
Sacked-Yards,0-0,5-36
Net Pass Yards,184,140
Total Yards,315,227
Fumbles-Lost,3-1,3-0
Turnovers,4,0
Penalties-Yards,3-20,0-0
Third Down Conv.,5-15,4-16
Fourth Down Conv.,0-1,0-1
Time of Possession,28:40,31:20
