Quarter,Time,Tm,Detail,SFO,WAS
1.0,2:54,49ers,Anquan Boldin 19 yard pass from Colin Kaepernick (Phil Dawson kick),7,0
2.0,12:09,49ers,Phil Dawson 29 yard field goal,10,0
,6:43,Redskins,Kai Forbath 36 yard field goal,10,3
,0:00,Redskins,Kai Forbath 35 yard field goal,10,6
3.0,9:25,49ers,Anquan Boldin 6 yard pass from Colin Kaepernick (Phil Dawson kick),17,6
,1:05,49ers,Vernon Davis 1 yard pass from Colin Kaepernick (Phil Dawson kick),24,6
4.0,9:01,49ers,Phil Dawson 49 yard field goal,27,6
