Unnamed: 0,SFO,WAS
First Downs,15,10
Rush-Yds-TDs,33-76-0,26-114-0
Cmp-Att-Yd-TD-INT,15-24-235-3-0,16-26-118-0-1
Sacked-Yards,2-7,6-42
Net Pass Yards,228,76
Total Yards,304,190
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,4-25,4-30
Third Down Conv.,4-14,4-15
Fourth Down Conv.,1-2,0-2
Time of Possession,31:26,28:34
