Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
1,8:43,2,2,CLE 46,0,7,"Penalty on Steve Heiden: False Start, 5 yards (no play)",2.000,1.330
1,8:21,2,7,CLE 41,0,7,Lee Suggs up the middle for 1 yard (tackle by Zach Thomas and Jeff Zgonina),1.330,0.760
1,7:43,3,6,CLE 42,6,7,"Luke McCown pass complete to Dennis Northcutt for 58 yards, touchdown",0.760,7.000
1,,,,MIA 2,7,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,7,"Phil Dawson kicks off 73 yards, returned by Wes Welker for 22 yards (tackle by Sherrod Coates)",0.000,0.150
1,7:27,1,10,MIA 19,7,7,Travis Minor right end for 13 yards (tackle by Chaun Thompson),0.150,1.070
1,6:51,1,10,MIA 32,7,7,A.J. Feeley pass incomplete intended for Marty Booker,1.070,0.530
1,6:39,2,10,MIA 32,7,7,A.J. Feeley pass complete to Randy McMichael for 11 yards (tackle by Barry Gardner),0.530,1.800
1,6:09,1,10,MIA 43,7,7,Travis Minor right tackle for 2 yards (tackle by Barry Gardner),1.800,1.520
1,5:31,2,8,MIA 45,7,7,A.J. Feeley pass complete to Travis Minor for 2 yards (tackle by Lewis Sanders). Penalty on MIA: Illegal Formation (Declined),1.520,1.090
1,5:07,3,6,MIA 47,7,7,A.J. Feeley pass incomplete intended for Travis Minor (defended by Warrick Holdman),1.090,-0.260
1,5:00,4,6,MIA 47,7,7,"Matt Turk punts 53 yards, touchback",-0.260,-0.280
1,4:48,1,10,CLE 20,7,7,Lee Suggs right guard for 5 yards (tackle by Morlon Greenwood),0.280,0.410
1,4:15,2,5,CLE 25,7,7,Lee Suggs up the middle for 3 yards (tackle by Zach Thomas and Sammy Knight),0.410,0.100
1,3:38,3,2,CLE 28,7,7,Lee Suggs left guard for 5 yards (tackle by Brendon Ayanbadejo and Jason Taylor),0.100,1.140
1,2:59,1,10,CLE 33,7,7,Lee Suggs right guard for 9 yards (tackle by Arturo Freeman and Morlon Greenwood),1.140,1.810
1,2:18,2,1,CLE 42,7,7,Lee Suggs left tackle for 1 yard (tackle by Dario Romero),1.810,1.800
1,1:37,1,10,CLE 43,7,7,Lee Suggs right end for -1 yards (tackle by Jay Williams),1.800,1.120
1,1:00,2,11,CLE 42,7,7,Lee Suggs right guard for 4 yards (tackle by Morlon Greenwood),1.120,0.960
1,0:22,3,7,CLE 46,7,7,"Luke McCown pass incomplete intended for Dennis Northcutt. Penalty on Morlon Greenwood: Defensive Pass Interference, 5 yards (no play)",0.960,2.320
1,0:15,1,10,MIA 49,7,7,Lee Suggs up the middle for 5 yards (tackle by Morlon Greenwood),2.320,2.460
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,MIA 44,7,7,Lee Suggs left tackle for -2 yards (tackle by Zach Thomas),2.460,1.490
2,14:21,3,7,MIA 46,7,7,Luke McCown pass incomplete intended for Antonio Bryant (defended by Reggie Howard),1.490,0.200
2,14:14,4,7,MIA 46,7,7,"Derrick Frost punts 34 yards, returned by Wes Welker for 4 yards (tackle by Chaun Thompson)",0.200,0.140
2,14:04,1,10,MIA 16,7,7,Travis Minor up the middle for 2 yards (tackle by Warrick Holdman and Michael Myers),-0.140,-0.350
2,13:29,2,8,MIA 18,7,7,A.J. Feeley pass complete to Randy McMichael for 2 yards (tackle by Anthony Henry),-0.350,-0.820
2,12:53,3,6,MIA 20,7,7,A.J. Feeley pass complete to Chris Chambers for 8 yards (tackle by Lewis Sanders),-0.820,0.810
2,12:26,1,10,MIA 28,7,7,"A.J. Feeley sacked by Gerard Warren for -10 yards. A.J. Feeley fumbles (forced by Gerard Warren), recovered by Chaun Thompson at MIA-17",0.810,-4.440
2,12:20,1,10,MIA 17,7,7,Lee Suggs right end for 4 yards (tackle by Sammy Knight and Zach Thomas),4.440,4.500
2,11:41,2,6,MIA 13,7,7,Lee Suggs left guard for 6 yards (tackle by Jason Taylor),4.500,5.600
2,11:17,1,7,MIA 7,7,7,Lee Suggs left tackle for 4 yards (tackle by Jeff Zgonina and Zach Thomas),5.600,5.530
2,10:43,2,3,MIA 3,7,7,"Lee Suggs left guard for 1 yard (tackle by Sammy Knight). Lee Suggs fumbles (forced by Sammy Knight), recovered by Sammy Knight at MIA-2",5.530,0.380
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
2,10:29,1,10,MIA 2,7,7,"Penalty on Orpheus Roye: Encroachment, 5 yards (no play)",-0.380,-0.190
2,10:29,1,5,MIA 7,7,7,Sammy Morris left tackle for 7 yards (tackle by Anthony Henry),-0.190,-0.280
2,9:52,1,10,MIA 14,7,7,A.J. Feeley pass complete to Jamar Martin for 5 yards (tackle by Warrick Holdman),-0.280,-0.040
2,9:13,2,5,MIA 19,7,7,Sammy Morris right tackle for 3 yards (tackle by Michael Myers),-0.040,-0.440
2,8:35,3,2,MIA 22,7,7,Sammy Morris right end for 3 yards (tackle by Earl Little),-0.440,0.610
2,8:03,1,10,MIA 25,7,7,"Sammy Morris left guard for 2 yards (tackle by Michael Myers and Gerard Warren). Penalty on CLE: Defensive 12 On-field, 5 yards (no play)",0.610,1.340
2,7:37,1,5,MIA 30,7,7,Sammy Morris right tackle for 4 yards (tackle by Barry Gardner),1.340,1.280
2,7:03,2,1,MIA 34,7,7,Sammy Morris left guard for 4 yards (tackle by Robert Griffith and Chaun Thompson),1.280,1.470
2,6:30,1,10,MIA 38,7,7,A.J. Feeley sacked by Robert Griffith for -1 yards,1.470,0.790
2,5:59,2,11,MIA 37,7,7,A.J. Feeley pass complete to Randy McMichael for 3 yards (tackle by Lewis Sanders),0.790,0.500
2,5:17,3,8,MIA 40,7,7,A.J. Feeley pass complete to Marty Booker for 11 yards,0.500,2.320
2,4:46,1,10,CLE 49,7,7,"A.J. Feeley for 3 yards (tackle by Barry Gardner). A.J. Feeley fumbles (forced by Barry Gardner), recovered by Anthony Henry at CLE-44. Penalty on Anthony Henry: Illegal Contact, 5 yards (no play)",2.320,2.650
2,4:37,1,10,CLE 44,7,7,Sammy Morris up the middle for -3 yards (tackle by Robert Griffith and Alvin McKinley),2.650,1.710
2,4:00,2,13,CLE 47,7,7,A.J. Feeley pass incomplete intended for Chris Chambers,1.710,1.030
2,3:53,3,13,CLE 47,7,7,A.J. Feeley pass incomplete intended for Randy McMichael,1.030,0.130
2,3:47,4,13,CLE 47,7,7,"Matt Turk punts 25 yards, fair catch by Dennis Northcutt",0.130,-0.410
2,3:38,1,10,CLE 22,7,7,"Lee Suggs left end for 7 yards (tackle by Sammy Knight). Lee Suggs fumbles (forced by Sammy Knight), ball out of bounds at CLE-29",0.410,0.810
2,3:21,2,3,CLE 29,7,7,Lee Suggs right guard for 4 yards (tackle by Zach Thomas),0.810,1.140
2,2:45,1,10,CLE 33,7,7,Luke McCown pass complete to Antonio Bryant for 8 yards (tackle by Sam Madison),1.140,1.670
2,2:08,2,2,CLE 41,7,7,Lee Suggs left guard for no gain (tackle by Morlon Greenwood),1.670,0.960
2,2:00,3,2,CLE 41,7,7,Luke McCown pass incomplete intended for Dennis Northcutt,0.960,-0.650
2,1:56,4,2,CLE 41,7,7,"Derrick Frost punts 45 yards, returned by Wes Welker for 16 yards (tackle by Michael Jameson)",-0.650,-0.940
2,1:44,1,10,MIA 30,7,7,Sammy Morris right tackle for no gain (tackle by Kevin Bentley and Alvin McKinley),0.940,0.390
2,1:24,2,10,MIA 30,7,7,A.J. Feeley pass complete to Chris Chambers for 7 yards,0.390,0.630
2,1:20,3,3,MIA 37,7,7,Sammy Morris right guard for 6 yards (tackle by Kevin Bentley and Warrick Holdman),0.630,1.800
2,1:14,,,,7,7,Timeout #1 by Miami Dolphins,0.000,1.800
2,1:14,1,10,MIA 43,7,7,A.J. Feeley pass incomplete intended for Randy McMichael,1.800,1.250
2,1:07,2,10,MIA 43,7,7,A.J. Feeley pass complete to Marty Booker for 9 yards (tackle by Anthony Henry),1.250,1.750
2,0:43,3,1,CLE 48,7,7,A.J. Feeley pass incomplete intended for Sammy Morris (defended by Ebenezer Ekuban),1.750,0.070
2,0:37,4,1,CLE 48,7,7,Matt Turk punts 34 yards,0.070,0.280
2,0:30,1,10,CLE 14,7,7,Luke McCown kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,7,7,"Olindo Mare kicks off 54 yards, returned by Richard Alston for 21 yards (tackle by Reggie Howard). Richard Alston fumbles (forced by Reggie Howard), recovered by Reggie Howard at CLE-37",0.000,-3.120
3,14:53,1,10,CLE 37,7,7,Sammy Morris left end for no gain (tackle by Robert Griffith),3.120,2.570
3,14:14,2,10,CLE 37,7,7,A.J. Feeley pass incomplete intended for Derrius Thompson,2.570,1.880
3,14:10,3,10,CLE 37,7,7,A.J. Feeley pass complete to Randy McMichael for 8 yards (tackle by Michael Jameson),1.880,1.600
3,13:24,4,2,CLE 29,7,7,A.J. Feeley pass complete to Marty Booker for 4 yards (tackle by Earl Little),1.600,3.910
3,13:08,1,10,CLE 25,7,7,A.J. Feeley pass complete to Sammy Morris for -5 yards (tackle by Kevin Bentley),3.910,2.690
3,12:28,2,15,CLE 30,7,7,A.J. Feeley pass incomplete intended for Chris Chambers (defended by Orpheus Roye),2.690,2.010
3,12:24,3,15,CLE 30,7,7,A.J. Feeley pass incomplete intended for Chris Chambers,2.010,1.410
3,12:18,4,15,CLE 30,7,7,"Olindo Mare punts 19 yards, returned by Dennis Northcutt for 17 yards (tackle by Olindo Mare)",1.410,-0.810
3,12:07,1,10,CLE 28,7,7,"Penalty on Antonio Bryant: False Start, 5 yards (no play)",0.810,0.480
3,12:07,1,15,CLE 23,7,7,Lee Suggs left tackle for 1 yard (tackle by Jeff Zgonina),0.480,-0.280
3,11:33,2,14,CLE 24,7,7,Lee Suggs left guard for 13 yards (tackle by Zach Thomas and Sam Madison),-0.280,0.760
3,10:52,3,1,CLE 37,7,7,Lee Suggs left tackle for 3 yards (tackle by Jason Taylor),0.760,1.600
3,10:12,1,10,CLE 40,7,7,"Luke McCown pass incomplete intended for Dennis Northcutt is intercepted by Arturo Freeman at MIA-20 and returned for 1 yard. Arturo Freeman fumbles, recovered by Patrick Surtain at MIA-18 and returned for 8 yards",1.600,3.310
3,9:51,1,10,MIA 34,7,7,Lee Suggs right tackle for 5 yards (tackle by Zach Thomas),3.310,3.450
3,9:22,2,5,MIA 29,7,7,Lee Suggs right end for 3 yards (tackle by Jason Taylor),3.450,3.140
3,8:37,3,2,MIA 26,7,7,Lee Suggs right end for 1 yard (tackle by Brendon Ayanbadejo and Jason Taylor),3.140,1.950
3,8:01,4,1,MIA 25,7,7,Phil Dawson 43 yard field goal no good,1.950,-1.140
3,7:54,1,10,MIA 33,7,7,Vick King up the middle for 1 yard (tackle by Chaun Thompson),1.140,0.730
3,7:18,2,9,MIA 34,7,7,A.J. Feeley pass complete to Randy McMichael for 6 yards (tackle by Kevin Bentley),0.730,0.830
3,6:41,3,3,MIA 40,7,7,A.J. Feeley pass complete to Randy McMichael for 10 yards (tackle by Barry Gardner),0.830,2.260
3,6:04,1,10,CLE 50,7,7,A.J. Feeley pass incomplete intended for Jamar Martin,2.260,1.710
3,5:57,2,10,CLE 50,7,7,Sage Rosenfels pass incomplete intended for Derrius Thompson (defended by Orpheus Roye),1.710,1.030
3,5:57,3,10,CLE 50,7,7,"Penalty on Rex Hadnot: False Start, 5 yards (no play)",1.030,0.370
3,5:53,3,15,MIA 45,7,7,A.J. Feeley pass complete to Randy McMichael for 8 yards (tackle by Michael Jameson),0.370,0.130
3,5:14,4,7,CLE 47,7,7,"Matt Turk punts 29 yards, fair catch by Dennis Northcutt",0.130,-0.040
3,5:08,1,10,CLE 18,7,7,Lee Suggs right guard for 3 yards (tackle by Brendon Ayanbadejo and Zach Thomas),0.040,0.010
3,4:34,2,7,CLE 21,7,7,--,0.010,-1.170
3,3:52,3,10,CLE 18,7,7,Luke McCown pass complete to Steve Heiden for 27 yards (tackle by Jason Taylor),-1.170,1.930
3,3:05,1,10,CLE 45,7,7,Lee Suggs left end for no gain (tackle by Sammy Knight and Sam Madison),1.930,1.380
3,2:28,2,10,CLE 45,7,7,Luke McCown pass complete to Keith Heinrich for 1 yard (tackle by Brendon Ayanbadejo),1.380,0.830
3,1:41,3,9,CLE 46,7,7,Lee Suggs up the middle for 8 yards (tackle by Zach Thomas),0.830,0.200
3,1:11,4,1,MIA 46,7,7,"Derrick Frost punts 46 yards, touchback",0.200,-0.280
3,1:03,1,10,MIA 20,7,7,"Penalty on Jamar Martin: False Start, 5 yards (no play)",0.280,-0.310
3,1:03,1,15,MIA 15,7,7,Travis Minor left guard for 2 yards (tackle by Amon Gordon),-0.310,-0.790
3,0:33,2,13,MIA 17,7,7,Travis Minor up the middle for 8 yards (tackle by Eric Westmoreland and Kenard Lang),-0.790,-0.300
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,MIA 25,7,7,A.J. Feeley pass incomplete intended for Sammy Morris,-0.300,-1.700
4,14:54,4,5,MIA 25,7,7,"Penalty on Derrick Pope: False Start, 5 yards (no play)",-1.700,-2.030
4,14:54,4,10,MIA 20,7,7,Matt Turk punts 39 yards,-2.030,-3.120
4,14:40,1,10,MIA 37,7,7,Luke McCown sacked by Jason Taylor for -7 yards,3.120,1.630
4,14:18,2,17,MIA 44,7,7,Luke McCown pass complete to Lee Suggs for 4 yards (tackle by Morlon Greenwood),1.630,1.490
4,13:33,3,13,MIA 40,7,7,Luke McCown pass incomplete intended for Lee Suggs,1.490,0.590
4,13:30,4,13,MIA 40,7,7,"Derrick Frost punts 40 yards, touchback",0.590,-0.280
4,13:21,1,10,MIA 20,7,7,Sammy Morris right tackle for 13 yards (tackle by Earl Little),0.280,1.140
4,12:57,1,10,MIA 33,7,7,Sammy Morris up the middle for 1 yard (tackle by Gerard Warren),1.140,0.730
4,12:38,2,9,MIA 34,7,7,A.J. Feeley pass incomplete intended for Chris Chambers,0.730,0.040
4,12:33,3,9,MIA 34,7,7,A.J. Feeley pass complete to Derrius Thompson for 16 yards (tackle by Michael Jameson),0.040,2.260
4,12:06,1,10,MIA 50,7,7,Sammy Morris left guard for 2 yards (tackle by Eric Westmoreland),2.260,1.980
4,11:38,2,8,CLE 48,7,7,A.J. Feeley pass incomplete intended for Chris Chambers,1.980,1.290
4,11:33,3,8,CLE 48,7,7,A.J. Feeley pass incomplete intended for Randy McMichael (defended by Eric Westmoreland),1.290,0.070
4,11:27,4,8,CLE 48,7,7,"Matt Turk punts 48 yards, touchback",0.070,-0.280
4,11:18,1,10,CLE 20,7,7,Lee Suggs left guard for 3 yards (tackle by Zach Thomas and Sammy Knight),0.280,0.140
4,10:40,2,7,CLE 23,7,7,Lee Suggs right guard for 9 yards (tackle by Morlon Greenwood),0.140,1.070
4,10:03,1,10,CLE 32,7,7,Lee Suggs right tackle for 3 yards (tackle by Jay Williams),1.070,0.930
4,9:25,2,7,CLE 35,7,7,Lee Suggs up the middle for 2 yards (tackle by Bryan Robinson and Jason Taylor),0.930,0.500
4,8:44,3,5,CLE 37,7,7,Luke McCown pass incomplete intended for Steve Heiden (defended by Morlon Greenwood),0.500,-0.910
4,8:39,4,5,CLE 37,7,7,Derrick Frost punts 46 yards,-0.910,-0.040
4,8:28,1,10,MIA 18,7,7,A.J. Feeley pass complete to Travis Minor for 2 yards (tackle by Barry Gardner),0.040,-0.130
4,8:05,2,8,MIA 20,7,7,A.J. Feeley pass complete to Chris Chambers for 10 yards (tackle by Kevin Bentley),-0.130,0.940
4,7:34,1,10,MIA 30,7,7,Travis Minor left tackle for 3 yards (tackle by Orpheus Roye),0.940,0.800
4,7:01,2,7,MIA 33,7,7,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",0.800,0.120
4,6:43,2,12,MIA 28,7,7,A.J. Feeley pass complete to Randy McMichael for 6 yards (tackle by Dyshod Carter),0.120,0.230
4,6:04,3,6,MIA 34,7,7,A.J. Feeley pass incomplete,0.230,-1.110
4,5:55,4,6,MIA 34,7,7,Matt Turk punts 38 yards,-1.110,-0.810
4,5:45,1,10,CLE 28,7,7,Lee Suggs left end for 5 yards (tackle by Morlon Greenwood and Sammy Knight),0.810,0.940
4,5:10,2,5,CLE 33,7,7,Lee Suggs up the middle for -1 yards (tackle by Zach Thomas),0.940,0.100
4,4:29,3,6,CLE 32,7,7,"Luke McCown sacked by David Bowens for -8 yards. Penalty on Jason Taylor: Defensive Holding, 5 yards (no play)",0.100,1.400
4,4:23,1,10,CLE 37,7,7,Luke McCown pass incomplete intended for Steve Heiden (defended by Morlon Greenwood),1.400,0.860
4,4:17,2,10,CLE 37,7,7,Lee Suggs up the middle for 6 yards (tackle by Morlon Greenwood and Zach Thomas),0.860,0.960
4,3:41,3,4,CLE 43,7,7,Luke McCown pass complete to Dennis Northcutt for 8 yards (tackle by Patrick Surtain),0.960,2.320
4,3:34,1,10,MIA 49,7,7,Lee Suggs right tackle for -1 yards (tackle by Mario Monds),2.320,1.650
4,3:00,2,11,MIA 50,7,7,Luke McCown pass complete to Antonio Bryant for 7 yards (tackle by Zach Thomas),1.650,1.880
4,2:22,3,4,MIA 43,7,7,Luke McCown sacked by David Bowens for -11 yards,1.880,-0.320
4,2:00,4,15,CLE 46,7,7,"Derrick Frost punts 43 yards, returned by Wes Welker for 17 yards (tackle by Dyshod Carter)",-0.320,-0.810
4,1:49,1,10,MIA 28,7,7,A.J. Feeley pass complete to Bryan Gilmore for 13 yards,0.810,1.660
4,1:42,1,10,MIA 41,7,7,Sammy Morris up the middle for 4 yards (tackle by Eric Westmoreland),1.660,1.660
4,1:15,2,6,MIA 45,7,7,A.J. Feeley pass complete to Sammy Morris for 4 yards (tackle by Eric Westmoreland),1.660,1.490
4,1:08,,,,7,7,Timeout #1 by Miami Dolphins,0.000,1.490
4,1:08,3,2,MIA 49,7,7,Sammy Morris right guard for 13 yards (tackle by Kenard Lang),1.490,3.050
4,0:42,1,10,CLE 38,7,7,Sammy Morris up the middle for 1 yard (tackle by Kenard Lang),3.050,2.640
4,0:37,,,,7,7,Timeout #2 by Miami Dolphins,0.000,2.640
4,0:37,2,9,CLE 37,7,7,A.J. Feeley pass complete to Randy McMichael for 5 yards (tackle by Robert Griffith),2.640,2.610
4,0:15,3,4,CLE 32,7,7,A.J. Feeley pass incomplete intended for Randy McMichael (defended by Robert Griffith),2.610,1.270
4,0:12,4,4,CLE 32,7,10,Olindo Mare 51 yard field goal good,1.270,3.000
4,,,,MIA 30,7,10,"Olindo Mare kicks off 61 yards, returned by Richard Alston for 6 yards",0.000,-0.220
4,0:04,,,,7,10,Timeout #2 by Cleveland Browns,0.000,-0.220
4,0:04,1,10,CLE 15,7,10,Luke McCown pass complete to Dennis Northcutt for 42 yards (tackle by Will Poole),-0.220,2.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
