Unnamed: 0,CLE,MIA
First Downs,14,19
Rush-Yds-TDs,40-142-0,25-116-0
Cmp-Att-Yd-TD-INT,9-16-161-1-2,25-44-176-1-0
Sacked-Yards,2-18,2-12
Net Pass Yards,143,164
Total Yards,285,280
Fumbles-Lost,4-2,3-2
Turnovers,4,2
Penalties-Yards,5-25,7-35
Third Down Conv.,5-12,8-19
Fourth Down Conv.,0-0,1-1
Time of Possession,30:26,29:34
