Quarter,Time,Tm,Detail,CLE,MIA
1.0,9:00,Dolphins,Derrius Thompson 18 yard pass from A.J. Feeley (Olindo Mare kick),0,7
,7:32,Browns,Dennis Northcutt 58 yard pass from Luke McCown (Phil Dawson kick),7,7
4.0,0:07,Dolphins,Olindo Mare 51 yard field goal,7,10
