Quarter,Time,Tm,Detail,LAR,CLE
1.0,4:06,Rams,Greg Zuerlein 53 yard field goal,3,0
2.0,11:41,Browns,Austin Seibert 23 yard field goal,3,3
,0:00,Browns,Austin Seibert 35 yard field goal,3,6
3.0,10:40,Rams,Cooper Kupp 11 yard pass from Jared Goff (Greg Zuerlein kick),10,6
,4:37,Browns,Demetrius Harris 2 yard pass from Baker Mayfield (Austin Seibert kick),10,13
4.0,12:48,Rams,Cooper Kupp 5 yard pass from Jared Goff (Greg Zuerlein kick),17,13
,6:37,Rams,Greg Zuerlein 37 yard field goal,20,13
