Quarter,Time,Down,ToGo,Location,LAR,CLE,Detail,EPB,EPA
1,2:08,1,10,LAR 34,3,0,Nick Chubb right tackle for 2 yards (tackle by Aaron Donald),3.310,3.040
1,1:30,2,8,LAR 32,3,0,Nick Chubb right guard for 7 yards (tackle by Cory Littleton and John Johnson),3.040,3.270
1,0:52,3,1,LAR 25,3,0,Nick Chubb left guard for 2 yards (tackle by Samson Ebukam and John Johnson),3.270,4.040
1,0:10,1,10,LAR 23,3,0,Baker Mayfield pass complete short right to Odell Beckham for 5 yards (tackle by Dante Fowler),4.040,4.210
Quarter,Time,Down,ToGo,Location,LAR,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LAR 18,3,0,"Baker Mayfield pass complete short left to Nick Chubb for 9 yards (tackle by Eric Weddle and John Johnson). Penalty on Pharaoh Brown: Offensive Pass Interference, 10 yards (no play)",4.210,2.820
2,14:29,2,15,LAR 28,3,0,Baker Mayfield pass complete short left to Ricky Seals-Jones for 14 yards (tackle by Cory Littleton),2.820,4.280
2,13:45,3,1,LAR 14,3,0,Baker Mayfield pass complete short left to Damion Ratley for 5 yards (tackle by Marcus Peters),4.280,5.140
2,13:08,1,9,LAR 9,3,0,Nick Chubb left guard for 2 yards (tackle by Dante Fowler and Michael Brockers),5.140,4.760
2,12:30,2,7,LAR 7,3,0,Nick Chubb left tackle for 2 yards (tackle by John Johnson),4.760,4.260
2,11:52,3,5,LAR 5,3,0,Baker Mayfield pass incomplete short right intended for Odell Beckham,4.260,3.010
2,11:44,4,5,LAR 5,3,3,Austin Seibert 23 yard field goal good,3.010,3.000
2,11:41,,,CLE 35,3,3,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
2,11:41,1,10,LAR 25,3,3,Todd Gurley left end for no gain (tackle by T.J. Carrie),0.610,0.060
2,11:04,2,10,LAR 25,3,3,Jared Goff pass complete short right to Robert Woods for 9 yards,0.060,0.560
2,10:34,3,1,LAR 34,3,3,Jared Goff pass complete short left to Cooper Kupp for 22 yards (tackle by Terrance Mitchell),0.560,2.650
2,9:54,1,10,CLE 44,3,3,Jared Goff pass incomplete deep left intended for Robert Woods,2.650,2.110
2,9:47,2,10,CLE 44,3,3,Jared Goff pass incomplete short right intended for Cooper Kupp,2.110,1.420
2,9:43,3,10,CLE 44,3,3,Jared Goff pass incomplete deep left intended for Brandin Cooks (defended by Jermaine Whitehead),1.420,0.330
2,9:35,4,10,CLE 44,3,3,Johnny Hekker punts 38 yards downed by Josh Reynolds,0.330,0.380
2,9:27,1,10,CLE 6,3,3,Baker Mayfield pass complete short left to Nick Chubb for 5 yards (tackle by Cory Littleton),-0.380,-0.420
2,8:45,2,5,CLE 11,3,3,Nick Chubb left guard for 1 yard (tackle by Samson Ebukam),-0.420,-0.720
2,8:00,3,4,CLE 12,3,3,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,-0.720,-2.490
2,7:52,4,4,CLE 12,3,3,"Jamie Gillan punts 40 yards, returned by Jojo Natson for no gain (tackle by Dontrell Hilliard). Penalty on Darious Williams: Illegal Block Above the Waist, 10 yards",-2.490,-1.470
2,7:42,1,10,LAR 38,3,3,Robert Woods left end for 1 yard (tackle by Olivier Vernon and Joe Schobert),1.470,1.060
2,7:04,2,9,LAR 39,3,3,Jared Goff pass complete short left to Gerald Everett for 11 yards (tackle by T.J. Carrie),1.060,2.260
2,6:37,1,10,LAR 50,3,3,Jared Goff pass complete deep right to Robert Woods for 18 yards (tackle by Terrance Mitchell),2.260,3.450
2,6:13,1,10,CLE 32,3,3,Jared Goff pass complete short right to Cooper Kupp for 8 yards (tackle by Jermaine Whitehead),3.450,3.980
2,5:31,2,2,CLE 24,3,3,Jared Goff sacked by Larry Ogunjobi for -9 yards,3.980,2.080
2,4:51,3,11,CLE 33,3,3,Jared Goff pass complete short left to Brandin Cooks for 3 yards (tackle by T.J. Carrie),2.080,1.410
2,4:13,4,8,CLE 30,3,3,Greg Zuerlein 48 yard field goal no good,1.410,-1.470
2,4:08,1,10,CLE 38,3,3,Baker Mayfield pass complete short middle to Jarvis Landry for 25 yards (tackle by Eric Weddle),1.470,3.120
2,3:28,1,10,LAR 37,3,3,Baker Mayfield pass incomplete short right intended for Odell Beckham,3.120,2.570
2,3:23,2,10,LAR 37,3,3,Nick Chubb right guard for 1 yard (tackle by Dante Fowler and Tanzel Smart),2.570,2.010
2,2:42,3,9,LAR 36,3,3,"Penalty on Eric Kush: False Start, 5 yards (no play)",2.010,1.360
2,2:15,3,14,LAR 41,3,3,Baker Mayfield pass incomplete deep left intended for Jarvis Landry (defended by Nickell Robey-Coleman),1.360,0.530
2,2:09,4,14,LAR 41,3,3,"Jamie Gillan punts 29 yards, fair catch by Jojo Natson at LA-12",0.530,0.350
2,2:02,1,10,LAR 12,3,3,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Eric Murray),-0.350,-0.070
2,1:57,2,4,LAR 18,3,3,Jared Goff pass complete short left to Brandin Cooks for 5 yards (tackle by Eric Murray),-0.070,0.480
2,1:40,1,10,LAR 23,3,3,Jared Goff pass complete short right to Robert Woods for 13 yards (tackle by Jermaine Whitehead),0.480,1.330
2,1:19,1,10,LAR 36,3,3,Jared Goff pass incomplete deep right intended for Robert Woods,1.330,0.790
2,1:14,2,10,LAR 36,3,3,Jared Goff pass complete short middle to Cooper Kupp for 5 yards (tackle by Juston Burris),0.790,0.760
2,0:47,3,5,LAR 41,3,3,"Penalty on Jamil Demby: False Start, 5 yards (no play)",0.760,0.100
2,0:28,3,10,LAR 36,3,3,"Jared Goff sacked by Myles Garrett for -5 yards. Jared Goff fumbles (forced by Myles Garrett), recovered by Joe Schobert at LA-38 and returned for 21 yards (tackle by Todd Gurley)",0.100,-4.440
2,0:18,1,10,LAR 17,3,3,Baker Mayfield pass incomplete short right,4.440,3.850
2,0:12,,,,,,Timeout #1 by Cleveland Browns,,
2,0:12,2,10,LAR 17,3,3,Baker Mayfield pass incomplete short right intended for Jarvis Landry,3.850,3.070
2,0:08,,,,,,Timeout #2 by Cleveland Browns,,
2,0:08,3,10,LAR 17,3,3,Baker Mayfield pass incomplete short right intended for Nick Chubb (defended by Clay Matthews),3.070,2.310
2,0:04,4,10,LAR 17,3,6,Austin Seibert 35 yard field goal good,2.310,3.000
Quarter,Time,Down,ToGo,Location,LAR,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,3,6,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,3,6,Todd Gurley left guard for 7 yards (tackle by Mack Wilson),0.610,1.010
3,14:25,2,3,LAR 32,3,6,Todd Gurley right tackle for 8 yards (tackle by Joe Schobert),1.010,1.600
3,14:02,1,10,LAR 40,3,6,Jared Goff pass complete deep left to Brandin Cooks for 19 yards,1.600,2.850
3,13:35,1,10,CLE 41,3,6,Todd Gurley left tackle for 5 yards (tackle by Larry Ogunjobi),2.850,2.980
3,12:50,2,5,CLE 36,3,6,Jared Goff pass complete short middle to Brandin Cooks for 16 yards (tackle by T.J. Carrie),2.980,4.240
3,12:14,1,10,CLE 20,3,6,Jared Goff pass incomplete short left intended for Todd Gurley,4.240,3.690
3,12:09,,,,,,Timeout #1 by Los Angeles Rams,,
3,12:09,2,10,CLE 20,3,6,Jared Goff pass complete short middle to Cooper Kupp for 13 yards (tackle by Juston Burris),3.690,5.600
3,11:29,1,7,CLE 7,3,6,Todd Gurley left tackle for -4 yards (tackle by Eric Murray),5.600,4.020
3,10:48,2,11,CLE 11,3,6,Jared Goff pass incomplete short middle intended for Josh Reynolds,4.020,3.120
3,10:44,3,11,CLE 11,9,6,"Jared Goff pass complete short left to Cooper Kupp for 11 yards, touchdown",3.120,7.000
3,10:40,,,CLE 15,10,6,Greg Zuerlein kicks extra point good,0.000,0.000
3,10:40,,,LAR 35,10,6,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,10:40,1,10,CLE 25,10,6,Nick Chubb right tackle for no gain (tackle by Michael Brockers),0.610,0.060
3,9:57,2,10,CLE 25,10,6,Baker Mayfield pass complete short right to Odell Beckham for 6 yards (tackle by Aqib Talib),0.060,0.170
3,9:21,3,4,CLE 31,10,6,Baker Mayfield pass complete short right to Damion Ratley for 5 yards (tackle by Aqib Talib),0.170,1.330
3,8:42,1,10,CLE 36,10,6,Nick Chubb right tackle for 9 yards (tackle by Taylor Rapp and John Johnson),1.330,2.010
3,8:06,2,1,CLE 45,10,6,Nick Chubb right guard for 12 yards (tackle by Eric Weddle and John Johnson),2.010,2.720
3,7:24,1,10,LAR 43,10,6,Baker Mayfield pass complete short right to Odell Beckham for 2 yards (tackle by Nickell Robey-Coleman),2.720,2.450
3,6:46,2,8,LAR 41,10,6,Baker Mayfield sacked by Clay Matthews for -5 yards. Penalty on Greg Robinson: Offensive Holding (Declined),2.450,1.090
3,6:15,3,13,LAR 46,10,6,Baker Mayfield pass complete short left to Nick Chubb for 30 yards (tackle by John Johnson),1.090,4.510
3,5:35,1,10,LAR 16,10,6,"Baker Mayfield pass incomplete deep right intended for Jarvis Landry. Penalty on Troy Hill: Defensive Pass Interference, 15 yards (no play)",4.510,6.970
3,5:30,1,1,LAR 1,10,6,"Nick Chubb up the middle for 1 yard. Penalty on Odell Beckham: Illegal Motion, 5 yards (no play)",6.970,5.830
3,5:28,1,6,LAR 6,10,6,Baker Mayfield pass incomplete short right intended for Damion Ratley,5.830,4.950
3,5:22,2,6,LAR 6,10,6,Nick Chubb right guard for 4 yards (tackle by Michael Brockers and John Johnson),4.950,4.950
3,4:40,3,2,LAR 2,10,12,"Baker Mayfield pass complete short middle to Demetrius Harris for 2 yards, touchdown",4.950,7.000
3,4:37,,,LAR 15,10,13,Austin Seibert kicks extra point good,0.000,0.000
3,4:37,,,CLE 35,10,13,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
3,4:37,1,10,LAR 25,10,13,Malcolm Brown right end for 2 yards (tackle by Sheldon Richardson),0.610,0.330
3,4:04,2,8,LAR 27,10,13,Jared Goff pass complete short left to Brandin Cooks for 13 yards (tackle by T.J. Carrie),0.330,1.600
3,3:38,1,10,LAR 40,10,13,Jared Goff pass short left intended for Brandin Cooks is intercepted by T.J. Carrie at CLE-49 and returned for no gain,1.600,-2.190
3,3:31,1,10,CLE 49,10,13,"Baker Mayfield up the middle for -1 yards (tackle by Clay Matthews). Baker Mayfield fumbles (forced by Clay Matthews), recovered by Baker Mayfield at CLE-48",2.190,1.510
3,2:50,2,11,CLE 48,10,13,Nick Chubb right tackle for 3 yards (tackle by Morgan Fox and Eric Weddle),1.510,1.220
3,2:09,3,8,LAR 49,10,13,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,1.220,0.000
3,2:05,4,8,LAR 49,10,13,Jamie Gillan punts 21 yards out of bounds,0.000,-0.810
3,2:00,1,10,LAR 28,10,13,Jared Goff pass complete short right to Brandin Cooks for 23 yards (tackle by Juston Burris),0.810,2.320
3,1:27,1,10,CLE 49,10,13,Todd Gurley left guard for 5 yards (tackle by Devaroe Lawrence),2.320,2.460
3,0:51,2,5,CLE 44,10,13,Todd Gurley right guard for 3 yards (tackle by Joe Schobert and Devaroe Lawrence),2.460,2.150
3,0:09,3,2,CLE 41,10,13,Jared Goff pass complete deep left to Cooper Kupp for 21 yards (tackle by Juston Burris),2.150,4.240
Quarter,Time,Down,ToGo,Location,LAR,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 20,10,13,Robert Woods left end for 17 yards (tackle by T.J. Carrie),4.240,6.510
4,14:31,1,3,CLE 3,10,13,Todd Gurley right guard for 2 yards (tackle by Chad Thomas and Sheldon Richardson),6.510,5.910
4,13:51,2,1,CLE 1,10,13,Jared Goff up the middle for no gain (tackle by Sheldon Richardson),5.910,5.170
4,13:11,3,1,CLE 1,10,13,"Penalty on Jamil Demby: False Start, 4 yards (no play)",5.170,4.260
4,12:51,3,5,CLE 5,16,13,"Jared Goff pass complete short left to Cooper Kupp for 5 yards, touchdown",4.260,7.000
4,12:48,,,CLE 15,17,13,Greg Zuerlein kicks extra point good,0.000,0.000
4,12:48,,,LAR 35,17,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,12:48,1,10,CLE 25,17,13,Nick Chubb left tackle for 13 yards (tackle by John Johnson and Taylor Rapp),0.610,1.470
4,12:12,1,10,CLE 38,17,13,Nick Chubb right guard for 2 yards (tackle by Eric Weddle and Tanzel Smart),1.470,1.190
4,11:30,2,8,CLE 40,17,13,Baker Mayfield pass complete deep right to Odell Beckham for 19 yards (tackle by Eric Weddle),1.190,2.850
4,10:56,1,10,LAR 41,17,13,Nick Chubb right guard for 1 yard (tackle by Dante Fowler),2.850,2.440
4,10:11,2,9,LAR 40,17,13,Baker Mayfield pass incomplete short right intended for Ricky Seals-Jones. Penalty on Pharaoh Brown: Illegal Formation (Declined),2.440,1.750
4,10:05,3,9,LAR 40,17,13,Baker Mayfield pass complete short right to Nick Chubb for no gain (tackle by Cory Littleton),1.750,0.590
4,9:19,4,9,LAR 40,17,13,Nick Chubb right tackle for 2 yards (tackle by Eric Weddle),0.590,-1.470
4,9:14,1,10,LAR 38,17,13,Malcolm Brown left guard for 4 yards (tackle by Mack Wilson),1.470,1.460
4,8:42,2,6,LAR 42,17,13,Brandin Cooks right end for 8 yards (tackle by Olivier Vernon),1.460,2.260
4,8:14,1,10,LAR 50,17,13,Jared Goff pass incomplete short right intended for Malcolm Brown,2.260,1.710
4,8:09,2,10,LAR 50,17,13,Jared Goff pass incomplete deep left intended for Brandin Cooks (defended by Eric Murray),1.710,1.030
4,8:04,,,,,,Timeout #2 by Los Angeles Rams,,
4,8:04,3,10,LAR 50,17,13,"Jared Goff left end for 7 yards (tackle by Joe Schobert). Penalty on Jermaine Whitehead: Unnecessary Roughness, 15 yards",1.030,3.710
4,7:35,1,10,CLE 28,17,13,Jared Goff left end for 8 yards (tackle by Joe Schobert),3.710,4.250
4,7:09,2,2,CLE 20,17,13,Malcolm Brown left tackle for 1 yard (tackle by Chad Thomas and Mack Wilson),4.250,3.720
4,6:47,3,1,CLE 19,17,13,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by T.J. Carrie),3.720,2.340
4,6:40,4,1,CLE 19,20,13,Greg Zuerlein 37 yard field goal good,2.340,3.000
4,6:37,,,LAR 35,20,13,"Greg Zuerlein kicks off 57 yards, muffed catch by Damion Ratley returned by Damion Ratley for 12 yards (tackle by Darious Williams). Penalty on Tavierre Thomas: Illegal Block Above the Waist, 10 yards",0.000,-0.380
4,6:29,1,10,CLE 10,20,13,Baker Mayfield sacked by Aaron Donald for -7 yards,-0.380,-1.290
4,5:52,2,17,CLE 3,20,13,Nick Chubb left guard for 7 yards (tackle by Michael Brockers),-1.290,-1.420
4,5:12,3,10,CLE 10,20,13,Baker Mayfield sacked by Clay Matthews for -8 yards,-1.420,-2.490
4,4:32,4,18,CLE 2,20,13,"Jamie Gillan punts 51 yards, returned by Jojo Natson for no gain (tackle by Tavierre Thomas)",-2.490,-2.060
4,4:23,1,10,LAR 47,20,13,Todd Gurley right tackle for -2 yards (tackle by Terrance Mitchell),2.060,1.250
4,3:39,2,12,LAR 45,20,13,Todd Gurley left guard for 9 yards (tackle by Olivier Vernon),1.250,1.750
4,2:54,3,3,CLE 46,20,13,Jared Goff pass deep left (defended by Joe Schobert) intended for Robert Woods is intercepted by Juston Burris at CLE-28 and returned for 15 yards,1.750,-1.800
4,2:46,1,10,CLE 43,20,13,Nick Chubb left tackle for 2 yards (tackle by Samson Ebukam),1.800,1.520
4,2:06,2,8,CLE 45,20,13,"Baker Mayfield sacked by and Michael Brockers for no gain. Penalty on Taylor Rapp: Illegal Contact, 5 yards (no play)",1.520,2.260
4,2:01,1,10,CLE 50,20,13,Baker Mayfield pass incomplete short right,2.260,1.710
4,1:54,2,10,CLE 50,20,13,"Penalty on Joel Bitonio: False Start, 5 yards (no play)",1.710,1.040
4,1:54,2,15,CLE 45,20,13,Baker Mayfield pass incomplete short left intended for Nick Chubb (defended by Cory Littleton),1.040,0.370
4,1:48,3,15,CLE 45,20,13,Baker Mayfield pass complete deep middle to Jarvis Landry for 27 yards (tackle by Aqib Talib and John Johnson),0.370,3.710
4,1:14,1,10,LAR 28,20,13,Nick Chubb right guard for 3 yards (tackle by Michael Brockers),3.710,3.570
4,0:50,2,7,LAR 25,20,13,"Baker Mayfield pass complete short middle to Damion Ratley for 16 yards (tackle by Aqib Talib). Penalty on Aaron Donald: Roughing the Passer, 5 yards",3.570,6.280
4,0:43,1,4,LAR 4,20,13,Baker Mayfield pass incomplete short right intended for Jarvis Landry,6.280,5.340
4,0:40,2,4,LAR 4,20,13,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Samson Ebukam),5.340,4.490
4,0:37,3,4,LAR 4,20,13,Baker Mayfield pass incomplete short middle intended for Demetrius Harris (defended by Taylor Rapp),4.490,3.030
4,0:33,,,,,,Timeout #1 by Cleveland Browns,,
4,0:33,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:33,4,4,LAR 4,20,13,Baker Mayfield pass short right intended for Damion Ratley is intercepted by John Johnson at LA-0 and returned for no gain,3.030,-0.280
4,0:27,1,10,LAR 20,20,13,Jared Goff kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
