Quarter,Time,Tm,Detail,MIN,NOR
1.0,7:53,Vikings,Jermaine Wiggins 1 yard pass from Daunte Culpepper (Morten Andersen kick),7,0
2.0,14:03,Vikings,Randy Moss 43 yard pass from Daunte Culpepper (Morten Andersen kick),14,0
,6:29,Saints,Deuce McAllister 2 yard rush (John Carney kick),14,7
,1:53,Vikings,Marcus Robinson 16 yard pass from Daunte Culpepper (Morten Andersen kick),21,7
,0:21,Saints,Joe Horn 7 yard pass from Aaron Brooks (John Carney kick),21,14
3.0,10:48,Vikings,Jermaine Wiggins 9 yard pass from Daunte Culpepper (Morten Andersen kick),28,14
,6:13,Saints,Deuce McAllister 1 yard rush (John Carney kick),28,21
,2:26,Vikings,Morten Andersen 39 yard field goal,31,21
4.0,13:08,Saints,John Carney 45 yard field goal,31,24
,7:04,Vikings,Marcus Robinson 1 yard pass from Daunte Culpepper (Morten Andersen kick),38,24
,2:51,Saints,Aaron Brooks 5 yard rush (John Carney kick),38,31
