Unnamed: 0,MIN,NOR
First Downs,29,25
Rush-Yds-TDs,28-188-0,23-159-3
Cmp-Att-Yd-TD-INT,26-38-425-5-2,22-38-249-1-1
Sacked-Yards,2-8,3-23
Net Pass Yards,417,226
Total Yards,605,385
Fumbles-Lost,4-1,1-0
Turnovers,3,1
Penalties-Yards,5-35,4-21
Third Down Conv.,8-11,4-11
Fourth Down Conv.,0-0,2-2
Time of Possession,30:41,29:19
