Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"John Carney kicks off 62 yards, returned by Kelly Campbell for 14 yards (tackle by Orlando Ruff). Penalty on Willie Offord: Offensive Holding, 10 yards",0.000,-0.350
1,14:54,1,10,MIN 12,0,0,Daunte Culpepper pass complete to Randy Moss for 46 yards (tackle by Tebucky Jones),-0.350,2.790
1,14:33,1,10,NOR 42,0,0,Mewelde Moore up the middle for 20 yards (tackle by Mike McKenzie),2.790,4.110
1,13:58,1,10,NOR 22,0,0,Mewelde Moore left guard for 8 yards (tackle by Fred Thomas),4.110,4.850
1,13:20,2,2,NOR 14,0,0,Daunte Culpepper sacked by Darren Howard for -4 yards,4.850,3.400
1,12:47,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,3.400
1,12:47,3,6,NOR 18,0,0,Daunte Culpepper pass incomplete intended for Marcus Robinson is intercepted by Ashley Ambrose at NOR-0,3.400,-0.280
1,12:36,1,10,NOR 20,0,0,Aaron Brooks pass incomplete intended for Boo Williams,0.280,-0.270
1,12:32,2,10,NOR 20,0,0,Deuce McAllister left end for 7 yards (tackle by Chris Claiborne),-0.270,-0.030
1,11:50,3,3,NOR 27,0,0,Aaron Brooks pass incomplete intended for Donte Stallworth,-0.030,-1.570
1,11:46,4,3,NOR 27,0,0,"Mitch Berger punts 51 yards, returned by Nate Burleson for 11 yards (tackle by Mel Mitchell)",-1.570,-1.140
1,11:35,1,10,MIN 33,0,0,Daunte Culpepper sacked by Charles Grant and Brian Young for -4 yards,1.140,0.050
1,10:57,2,14,MIN 29,0,0,Daunte Culpepper pass complete to Nate Burleson for 36 yards (tackle by Tebucky Jones),0.050,3.250
1,10:33,1,10,NOR 35,0,0,Mewelde Moore left guard for 6 yards (tackle by Howard Green),3.250,3.510
1,9:59,2,4,NOR 29,0,0,Daunte Culpepper pass complete to Mewelde Moore for 13 yards (tackle by Fred Thomas),3.510,4.510
1,9:22,1,10,NOR 16,0,0,Daunte Culpepper up the middle for 1 yard (tackle by Brian Young),4.510,4.050
1,8:39,2,9,NOR 15,0,0,Daunte Culpepper pass incomplete intended for Nate Burleson,4.050,3.220
1,8:32,3,9,NOR 15,0,0,Daunte Culpepper pass complete to Moe Williams for 13 yards (tackle by Jay Bellamy),3.220,6.740
1,8:01,1,2,NOR 2,0,0,"Daunte Culpepper pass incomplete intended for Randy Moss. Penalty on Ashley Ambrose: Defensive Pass Interference, 1 yards (no play)",6.740,6.970
1,7:56,1,1,NOR 1,6,0,"Daunte Culpepper pass complete to Jermaine Wiggins for 1 yard, touchdown",6.970,7.000
1,,,,NOR 2,7,0,Morten Andersen kicks extra point good,0.000,0.000
1,,,,MIN 30,7,0,"Aaron Elling kicks off 64 yards, returned by Michael Lewis for 17 yards (tackle by Raonall Smith)",0.000,0.480
1,7:48,1,10,NOR 23,7,0,Deuce McAllister up the middle for 5 yards (tackle by Kevin Williams and Dontarrious Thomas),0.480,0.610
1,7:17,2,5,NOR 28,7,0,Deuce McAllister right tackle for 13 yards (tackle by Brian Russell),0.610,1.660
1,6:40,1,10,NOR 41,7,0,Aaron Brooks pass complete to Deuce McAllister for 5 yards (tackle by Keith Newman),1.660,1.800
1,5:58,2,5,NOR 46,7,0,Deuce McAllister right tackle for 1 yard (tackle by Kenechi Udeze and Kevin Williams),1.800,1.220
1,5:16,3,4,NOR 47,7,0,Aaron Brooks pass complete to Joe Horn for 6 yards (tackle by Antoine Winfield),1.220,2.460
1,4:37,1,10,MIN 47,7,0,Aaron Brooks pass incomplete intended for Donte Stallworth,2.460,1.910
1,4:30,2,10,MIN 47,7,0,Aaron Brooks pass complete to Joe Horn for 12 yards (tackle by Antoine Winfield),1.910,3.250
1,3:53,1,10,MIN 35,7,0,Aaron Stecker left guard for 3 yards (tackle by Kevin Williams),3.250,3.110
1,3:10,2,7,MIN 32,7,0,Aaron Brooks pass complete to Donte Stallworth for 5 yards (tackle by Corey Chavous),3.110,3.070
1,2:30,3,2,MIN 27,7,0,Deuce McAllister left guard for 7 yards (tackle by Chris Hovan and Kevin Williams),3.070,4.240
1,1:54,1,10,MIN 20,7,0,"Aaron Brooks pass incomplete intended for Donte Stallworth. Penalty on Brian Russell: Illegal Contact, 5 yards (no play)",4.240,4.580
1,1:46,1,10,MIN 15,7,0,Deuce McAllister left guard for no gain (tackle by Chris Claiborne),4.580,3.950
1,1:09,2,10,MIN 15,7,0,"Aaron Brooks up the middle for no gain (tackle by Lance Johnstone). Penalty on Keith Newman: Defensive Holding, 5 yards (no play)",3.950,4.910
1,0:59,1,10,MIN 10,7,0,Deuce McAllister right guard for 2 yards (tackle by Brian Russell and Dontarrious Thomas),4.910,4.570
1,0:19,2,8,MIN 8,7,0,Aaron Brooks pass incomplete intended for Ernie Conwell is intercepted by Antoine Winfield at MIN-6 and returned for 56 yards (tackle by Aaron Brooks),4.570,-3.050
1,0:06,1,10,NOR 38,7,0,Daunte Culpepper pass complete to Mewelde Moore for 1 yard (tackle by Sedrick Hodge),3.050,2.640
Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NOR 37,7,0,Mewelde Moore up the middle for -6 yards (tackle by Charles Grant),2.640,1.160
2,14:12,3,15,NOR 43,13,0,"Daunte Culpepper pass complete to Randy Moss for 43 yards, touchdown",1.160,7.000
2,,,,NOR 2,14,0,Morten Andersen kicks extra point good,0.000,0.000
