Unnamed: 0,SDG,KAN
First Downs,22,22
Rush-Yds-TDs,19-68-1,31-102-1
Cmp-Att-Yd-TD-INT,34-48-346-2-1,20-29-175-2-1
Sacked-Yards,3-20,0-0
Net Pass Yards,326,175
Total Yards,394,277
Fumbles-Lost,4-2,1-1
Turnovers,3,2
Penalties-Yards,10-83,4-30
Third Down Conv.,4-13,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,27:51,32:09
