Quarter,Time,Tm,Detail,LAC,LVR
1.0,8:10,Raiders,Zamir White 1 yard rush (Daniel Carlson kick),0,7
,4:41,Raiders,Tre Tucker 30 yard pass from Aidan O'Connell (Daniel Carlson kick),0,14
,3:07,Raiders,Jakobi Meyers 22 yard pass from Aidan O'Connell (Daniel Carlson kick),0,21
2.0,9:15,Raiders,Michael Mayer 11 yard pass from Aidan O'Connell (Daniel Carlson kick),0,28
,3:50,Raiders,Brandon Bolden 26 yard rush (Daniel Carlson kick),0,35
,0:31,Raiders,Tre Tucker 20 yard pass from Aidan O'Connell (Daniel Carlson kick),0,42
3.0,10:42,Raiders,Davante Adams 3 yard pass from Jakobi Meyers (Daniel Carlson kick),0,49
,10:27,Chargers,Josh Palmer 79 yard pass from Easton Stick (Cameron Dicker kick),7,49
,0:00,Raiders,John Jenkins 44 yard fumble return (Daniel Carlson kick),7,56
4.0,14:31,Raiders,Jack Jones 16 yard interception return (Daniel Carlson kick),7,63
,8:39,Chargers,Alex Erickson 13 yard pass from Easton Stick (Cameron Dicker kick),14,63
,2:38,Chargers,Quentin Johnston 6 yard pass from Easton Stick (Cameron Dicker kick),21,63
