Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 60 yards, returned by Derius Davis for 24 yards (tackle by Brandon Bolden)",0.000,0.870
1,14:53,1,10,LAC 29,0,0,Austin Ekeler right guard for 6 yards (tackle by Divine Deablo),0.870,1.140
1,14:21,2,4,LAC 35,0,0,Easton Stick pass complete short left to Austin Ekeler for 1 yard (tackle by Maxx Crosby),1.140,0.560
1,13:48,3,3,LAC 36,0,0,Easton Stick pass incomplete short left intended for Gerald Everett (defended by Marcus Epps) (defended by John Jenkins),0.560,-0.980
1,13:44,4,3,LAC 36,0,0,"JK Scott punts 47 yards, fair catch by DeAndre Carter at LV-17. Penalty on Ja'Sir Taylor: Fair Catch Interference, 15 yards (accepted)",-0.980,-1.070
1,13:33,1,10,LVR 32,0,0,Zamir White left tackle for 8 yards (tackle by Eric Kendricks),1.070,1.610
1,12:54,2,2,LVR 40,0,0,Aidan O'Connell pass incomplete deep left intended for Tre Tucker (defended by Michael Davis),1.610,0.890
1,12:47,3,2,LVR 40,0,0,Ameer Abdullah up the middle for 6 yards (tackle by Eric Kendricks and Austin Johnson),0.890,1.990
1,12:12,1,10,LVR 46,0,0,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Asante Samuel),1.990,1.450
1,12:07,2,10,LVR 46,0,0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Austin Johnson),1.450,1.690
1,11:30,3,3,LAC 47,0,0,Ameer Abdullah right tackle for 5 yards (tackle by Eric Kendricks),1.690,2.790
1,10:53,1,10,LAC 42,0,0,Brandon Bolden right end for -1 yards (tackle by Michael Davis),2.790,2.110
1,10:11,2,11,LAC 43,0,0,"Aidan O'Connell pass complete to Hunter Renfrow for no gain (tackle by Eric Kendricks). Penalty on Derwin James: Defensive Offside, 5 yards (accepted) (no play)",2.110,2.780
1,9:50,2,6,LAC 38,0,0,Aidan O'Connell pass complete short right to Davante Adams for 24 yards (tackle by Alohi Gilman and Derwin James),2.780,4.650
1,9:02,1,10,LAC 14,0,0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,4.650,4.000
1,8:59,2,10,LAC 14,0,0,Aidan O'Connell pass incomplete short left intended for Michael Mayer (defended by Khalil Mack),4.000,3.110
1,8:55,3,10,LAC 14,0,0,Aidan O'Connell pass complete short middle to Michael Mayer for 13 yards (tackle by Eric Kendricks),3.110,6.970
1,8:13,1,1,LAC 1,0,6,"Zamir White left guard for 1 yard, touchdown",6.970,7.000
1,8:10,,,LAC 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
1,8:10,,,LVR 35,0,7,"Daniel Carlson kicks off 68 yards, returned by Derius Davis for 24 yards (tackle by Curtis Bolton)",0.000,0.340
1,8:07,1,10,LAC 21,0,7,Easton Stick pass complete short left to Jalen Guyton for 14 yards (tackle by Nate Hobbs and Amik Robertson),0.340,1.270
1,7:28,1,10,LAC 35,0,7,Easton Stick pass complete short right to Gerald Everett for 13 yards (tackle by Jack Jones),1.270,2.130
1,6:51,1,10,LAC 48,0,7,Joshua Kelley up the middle for no gain (tackle by Divine Deablo and Jerry Tillery),2.130,1.580
1,6:12,2,10,LAC 48,0,7,"Easton Stick sacked by Malcolm Koonce for -6 yards. Easton Stick fumbles (forced by Malcolm Koonce), recovered by Tyree Wilson at LAC-42 (tackle by Malcolm Koonce)",1.580,-2.790
1,6:07,1,10,LAC 42,0,7,Zamir White left guard for 2 yards (tackle by Khalil Mack),2.790,2.510
1,5:31,2,8,LAC 40,0,7,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Michael Davis),2.510,1.820
1,5:25,3,8,LAC 40,0,7,Aidan O'Connell pass complete short middle to Michael Mayer for 10 yards (tackle by Eric Kendricks and Jaylinn Hawkins),1.820,3.580
1,4:47,1,10,LAC 30,0,13,"Aidan O'Connell pass complete deep left to Tre Tucker for 30 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.580,7.000
1,4:41,,,LAC 15,0,14,Daniel Carlson kicks extra point good,0.000,0.000
1,4:41,,,LVR 35,0,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,4:41,1,10,LAC 25,0,14,"Joshua Kelley left tackle for 4 yards. Joshua Kelley fumbles (forced by Marcus Epps), recovered by Jerry Tillery at LAC-31 (tackle by Marcus Epps) (tackle by Marcus Epps)",0.610,-3.510
1,4:36,1,10,LAC 31,0,14,"Penalty on Jakobi Meyers: False Start, 5 yards (accepted) (no play)",3.510,3.180
1,4:36,1,15,LAC 36,0,14,Aidan O'Connell pass complete short right to Tre Tucker for 9 yards (tackle by Derwin James and Kenneth Murray),3.180,3.510
1,3:57,2,6,LAC 27,0,14,Zamir White up the middle for 5 yards (tackle by Austin Johnson),3.510,3.470
1,3:13,3,1,LAC 22,0,20,"Aidan O'Connell pass complete deep right to Jakobi Meyers for 22 yards, touchdown",3.470,7.000
1,3:07,,,LAC 15,0,21,Daniel Carlson kicks extra point good,0.000,0.000
1,3:07,,,LVR 35,0,21,"Daniel Carlson kicks off 64 yards, returned by Derius Davis for 26 yards (tackle by Jesper Horsted and Ameer Abdullah)",0.000,0.740
1,3:01,1,10,LAC 27,0,21,"Austin Ekeler left guard for no gain (tackle by Tyree Wilson). Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.740,-0.170
1,2:38,1,20,LAC 17,0,21,"Easton Stick pass complete short middle to Gerald Everett for 11 yards. Gerald Everett fumbles (forced by Robert Spillane), recovered by Jalen Guyton at LAC-28 (tackle by Tre'von Moehrig)",-0.170,0.200
1,1:52,2,10,LAC 27,0,21,Easton Stick pass complete short left to Gerald Everett for 11 yards (tackle by Amik Robertson),0.200,1.470
1,1:21,1,10,LAC 38,0,21,Easton Stick pass complete short left to Stone Smartt for 4 yards (tackle by Divine Deablo),1.470,1.460
1,0:50,2,6,LAC 42,0,21,Austin Ekeler up the middle for 1 yard (tackle by Robert Spillane and Jack Jones),1.460,0.890
1,0:07,3,5,LAC 43,0,21,Easton Stick sacked by Jerry Tillery for -7 yards,0.890,-0.980
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,12,LAC 36,0,21,"JK Scott punts 46 yards, fair catch by DeAndre Carter at LV-18",-0.980,-0.040
2,14:51,1,10,LVR 18,0,21,Zamir White left guard for no gain (tackle by Christopher Hinton),0.040,-0.490
2,14:13,2,10,LVR 18,0,21,Aidan O'Connell pass incomplete short middle intended for Zamir White (defended by Khalil Mack),-0.490,-1.170
2,14:08,,,,,,Timeout #1 by Las Vegas Raiders,,
2,14:08,3,10,LVR 18,0,21,Aidan O'Connell pass complete short middle to Ameer Abdullah for 8 yards (tackle by Eric Kendricks),-1.170,-1.630
2,13:21,4,2,LVR 26,0,21,"AJ Cole punts 53 yards, fair catch by Derius Davis at LAC-21",-1.630,-0.340
2,13:12,1,10,LAC 21,0,21,"Penalty on Janarius Robinson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.340,1.070
2,13:12,1,5,LAC 26,0,21,Isaiah Spiller left tackle for 1 yard (tackle by Divine Deablo and Maxx Crosby),1.070,0.610
2,12:30,2,4,LAC 27,0,21,Easton Stick pass complete short middle to Stone Smartt for 6 yards (tackle by Nate Hobbs),0.610,1.140
2,11:44,,,,,,Timeout #1 by Los Angeles Chargers,,
2,11:44,1,10,LAC 33,0,21,Isaiah Spiller right guard for 3 yards (tackle by Divine Deablo and Robert Spillane),1.140,1.000
2,11:09,2,7,LAC 36,0,21,Easton Stick pass incomplete deep right intended for Alex Erickson,1.000,0.300
2,11:03,3,7,LAC 36,0,21,Easton Stick pass incomplete short middle intended for Austin Ekeler,0.300,-0.980
2,10:58,4,7,LAC 36,0,21,"JK Scott punts 47 yards, returned by DeAndre Carter for 13 yards (tackle by Dean Marlowe and Josh Harris)",-0.980,-0.940
2,10:46,1,10,LVR 30,0,21,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Asante Samuel),0.940,0.390
2,10:42,2,10,LVR 30,0,21,Zamir White up the middle for 6 yards (tackle by Sebastian Joseph-Day),0.390,0.500
2,10:00,3,4,LVR 36,0,21,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Eric Kendricks),0.500,-0.980
2,9:55,4,4,LVR 36,0,21,"AJ Cole punts 53 yards, returned by Derius Davis for 3 yards. Derius Davis fumbles (forced by DJ Turner), recovered by DJ Turner at LAC-14 (tackle by DJ Turner)",-0.980,4.650
2,9:44,1,10,LAC 14,0,21,Zamir White left tackle for 3 yards (tackle by Austin Johnson),4.650,4.520
2,9:22,2,7,LAC 11,0,27,"Aidan O'Connell pass complete short right to Michael Mayer for 11 yards, touchdown",4.520,7.000
2,9:15,,,LAC 15,0,28,Daniel Carlson kicks extra point good,0.000,0.000
2,9:15,,,LVR 35,0,28,"Daniel Carlson kicks off 63 yards, returned by Derius Davis for 23 yards (tackle by Christopher Smith)",0.000,0.610
2,9:10,1,10,LAC 25,0,28,Easton Stick pass complete short middle to Derius Davis for -2 yards (tackle by Maxx Crosby),0.610,-0.210
2,8:33,2,12,LAC 23,0,28,"Easton Stick sacked by Robert Spillane for no gain. Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted) (no play)",-0.210,-1.640
2,8:21,2,22,LAC 13,0,28,Easton Stick pass complete deep middle to Quentin Johnston for 17 yards (tackle by Amik Robertson and Divine Deablo),-1.640,0.040
2,7:39,3,5,LAC 30,0,28,Easton Stick pass incomplete short left intended for Gerald Everett,0.040,-1.370
2,7:32,4,5,LAC 30,0,28,"JK Scott punts 46 yards, returned by DeAndre Carter for 11 yards (tackle by Stephen Anderson and Josh Harris)",-1.370,-1.270
2,7:21,1,10,LVR 35,0,28,Zamir White up the middle for 3 yards (tackle by Eric Kendricks and Christopher Hinton),1.270,1.130
2,6:44,2,7,LVR 38,0,28,Aidan O'Connell pass complete short right to Zamir White for 5 yards (tackle by Scott Matlock and Eric Kendricks),1.130,1.090
2,5:58,3,2,LVR 43,0,28,Aidan O'Connell pass complete short right to Davante Adams for 24 yards (tackle by Michael Davis),1.090,3.380
2,5:15,1,10,LAC 33,0,28,Jakobi Meyers pass complete short right to Davante Adams for 9 yards (tackle by Asante Samuel),3.380,4.050
2,4:34,2,1,LAC 24,0,28,Tre Tucker left tackle for -2 yards (tackle by Khalil Mack and Eric Kendricks),4.050,3.070
2,3:56,3,3,LAC 26,0,34,"Brandon Bolden left end for 26 yards, touchdown",3.070,7.000
2,3:50,,,LAC 15,0,35,Daniel Carlson kicks extra point good,0.000,0.000
2,3:50,,,LVR 35,0,35,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,3:50,1,10,LAC 25,0,35,"Easton Stick pass incomplete short left intended for Gerald Everett (defended by Amik Robertson). Penalty on Amik Robertson: Taunting / Defense, 15 yards (accepted)",0.610,1.600
2,3:44,1,10,LAC 40,0,35,Isaiah Spiller up the middle for 1 yard (tackle by Maxx Crosby and Divine Deablo),1.600,1.190
2,3:10,2,9,LAC 41,0,35,Isaiah Spiller left tackle for 8 yards (tackle by Robert Spillane and Amik Robertson),1.190,1.550
2,2:39,3,1,LAC 49,0,35,Austin Ekeler up the middle for no gain (tackle by Jack Jones),1.550,-0.130
2,2:00,4,1,LAC 49,0,35,"Austin Ekeler up the middle for no gain (tackle by Divine Deablo and Jerry Tillery). Penalty on Gerald Everett: Offensive Offside, 5 yards (declined)",-0.130,-2.320
2,1:56,1,10,LAC 49,0,35,Aidan O'Connell pass complete short left to Davante Adams for 9 yards (tackle by Michael Davis),2.320,3.000
2,1:34,2,1,LAC 40,0,35,Aidan O'Connell pass complete short right to Zamir White for 6 yards (tackle by Michael Davis and Eric Kendricks),3.000,3.310
2,1:00,1,10,LAC 34,0,35,Aidan O'Connell pass incomplete short middle intended for Hunter Renfrow,3.310,2.770
2,0:56,2,10,LAC 34,0,35,Ameer Abdullah right guard for 9 yards (tackle by Derwin James),2.770,3.270
2,0:46,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:46,3,1,LAC 25,0,35,Ameer Abdullah up the middle for 5 yards (tackle by Essang Bassey),3.270,4.240
2,0:36,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:36,1,10,LAC 20,0,41,"Aidan O'Connell pass complete deep left to Tre Tucker for 20 yards, touchdown",4.240,7.000
2,0:31,,,LAC 15,0,42,Daniel Carlson kicks extra point good,0.000,0.000
2,0:31,,,LVR 35,0,42,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:31,1,10,LAC 25,0,42,Isaiah Spiller up the middle for 3 yards (tackle by Malcolm Koonce),0.610,0.470
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,0,42,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,0,42,Zamir White up the middle for 4 yards (tackle by Austin Johnson and Scott Matlock),0.610,0.600
3,14:17,2,6,LVR 29,0,42,Aidan O'Connell pass complete short middle to Davante Adams for 18 yards (tackle by Derwin James),0.600,2.060
3,13:32,1,10,LVR 47,0,42,Zamir White left tackle for 15 yards (tackle by Alohi Gilman),2.060,3.050
