Unnamed: 0,LAC,LVR
First Downs,18,20
Rush-Yds-TDs,28-92-0,26-124-2
Cmp-Att-Yd-TD-INT,23-32-257-3-1,22-36-260-5-0
Sacked-Yards,3-23,1-6
Net Pass Yards,234,254
Total Yards,326,378
Fumbles-Lost,5-4,0-0
Turnovers,5,0
Penalties-Yards,6-65,4-30
Third Down Conv.,6-12,9-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:09,29:51
