Quarter,Time,Down,ToGo,Location,PIT,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 15 yards (tackle by Eli Apple),0.610,1.600
1,14:26,1,10,PIT 40,0,0,Ben Roethlisberger pass complete short right to Jaylen Samuels for 1 yard (tackle by Eli Apple),1.600,1.190
1,13:49,2,9,PIT 41,0,0,Jaylen Samuels right end for 2 yards (tackle by A.J. Klein and Vonn Bell),1.190,0.760
1,13:11,3,7,PIT 43,0,0,Ben Roethlisberger pass incomplete short right intended for Vance McDonald,0.760,-0.520
1,13:06,4,7,PIT 43,0,0,"Jordan Berry punts 57 yards, touchback.",-0.520,-0.280
1,12:58,1,10,NOR 20,0,0,Mark Ingram right guard for 8 yards (tackle by Jonathan Bostic),0.280,0.810
1,12:22,2,2,NOR 28,0,0,Mark Ingram right guard for 3 yards (tackle by L.J. Fort),0.810,1.000
1,11:45,1,10,NOR 31,0,0,Drew Brees pass complete short left to Michael Thomas for 13 yards (tackle by Vince Williams),1.000,1.860
1,11:14,1,10,NOR 44,0,0,Drew Brees pass complete short left to Michael Thomas for 10 yards (tackle by Joe Haden),1.860,2.520
1,10:35,1,10,PIT 46,0,0,"Taysom Hill pass deep middle intended for Ted Ginn is intercepted by Sean Davis at PIT-0 and returned for 27 yards. Penalty on Josh Hill: Horse Collar Tackle, 15 yards",2.520,-1.600
1,10:18,1,10,PIT 40,0,0,Jaylen Samuels left end for 5 yards (tackle by Marshon Lattimore),1.600,1.730
1,9:43,2,5,PIT 45,0,0,Ben Roethlisberger pass complete short right to Ryan Switzer for 3 yards (tackle by Alex Anzalone),1.730,1.420
