Quarter,Time,Tm,Detail,PIT,NOR
1.0,5:32,Steelers,Chris Boswell 49 yard field goal,3,0
,2:57,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),3,7
2.0,14:05,Steelers,Chris Boswell 30 yard field goal,6,7
,10:22,Saints,Alvin Kamara 8 yard rush (Wil Lutz kick),6,14
,0:40,Steelers,Jaylen Samuels 3 yard pass from Ben Roethlisberger (Eli Rogers pass from Ben Roethlisberger),14,14
,0:02,Saints,Wil Lutz 43 yard field goal,14,17
3.0,9:13,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,24
,4:48,Steelers,Antonio Brown 3 yard pass from Ben Roethlisberger (Chris Boswell kick),21,24
,1:02,Steelers,Antonio Brown 20 yard pass from Ben Roethlisberger (Chris Boswell kick),28,24
4.0,1:25,Saints,Michael Thomas 2 yard pass from Drew Brees (Wil Lutz kick),28,31
