Unnamed: 0,JAX,CAR
First Downs,17,17
Rush-Yds-TDs,28-75-1,26-122-0
Cmp-Att-Yd-TD-INT,23-27-272-2-0,16-30-141-3-2
Sacked-Yards,4-16,5-21
Net Pass Yards,256,120
Total Yards,331,242
Fumbles-Lost,1-1,4-0
Turnovers,1,2
Penalties-Yards,8-82,9-83
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,33:23,26:37
