Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Seth Marler kicks off 55 yards, returned by Rod Smart for 14 yards (tackle by Anthony Mitchell)",0.000,0.870
1,14:56,1,10,CAR 29,0,0,Stephen Davis left end for 20 yards (tackle by Jason Craft),0.870,2.190
1,14:30,1,10,CAR 49,0,0,Stephen Davis left tackle for 2 yards (tackle by John Henderson and Mike Peterson),2.190,1.920
1,13:50,2,8,JAX 49,0,0,Nick Goings left guard for 4 yards (tackle by Hugh Douglas),1.920,1.750
1,13:10,3,4,JAX 45,0,0,Rodney Peete pass incomplete intended for Ricky Proehl (defended by Kiwaukee Thomas),1.750,0.270
1,13:03,4,4,JAX 45,0,0,Todd Sauerbrun punts 41 yards,0.270,0.380
1,12:54,1,10,JAX 4,0,0,Fred Taylor left end for 3 yards (tackle by Brentson Buckner),-0.380,-0.560
1,12:15,2,7,JAX 7,0,0,Mark Brunell pass complete to Marc Edwards for 3 yards (tackle by Reggie Howard),-0.560,-0.720
1,11:28,3,4,JAX 10,0,0,Fred Taylor left guard for 8 yards (tackle by Mike Minter),-0.720,0.040
1,10:43,1,10,JAX 18,0,0,Mark Brunell pass complete to J.J. Stokes for 2 yards (tackle by Terry Cousin),0.040,-0.130
1,10:07,2,8,JAX 20,0,0,Mark Brunell pass complete to LaBrandon Toefield for 3 yards (tackle by Mike Minter),-0.130,-0.530
1,9:26,3,5,JAX 23,0,0,Fred Taylor left guard for 3 yards (tackle by Brentson Buckner),-0.530,-1.630
1,8:43,4,2,JAX 26,0,0,"Chris Hanson punts 48 yards, returned by Steve Smith for 9 yards (tackle by Marlon McCree)",-1.630,-1.270
1,8:32,1,10,CAR 35,0,0,Rodney Peete pass complete to Brad Hoover for 5 yards (tackle by Keith Mitchell),1.270,1.400
1,7:50,2,5,CAR 40,0,0,Stephen Davis right tackle for 2 yards (tackle by Akin Ayodele),1.400,0.960
1,7:09,3,3,CAR 42,0,0,Rodney Peete pass complete to DeShaun Foster for 1 yard (tackle by Mike Peterson),0.960,-0.520
