Unnamed: 0,NYG,CLE
First Downs,13,21
Rush-Yds-TDs,27-104-0,21-58-0
Cmp-Att-Yd-TD-INT,15-27-194-3-0,25-44-322-1-0
Sacked-Yards,1-2,7-37
Net Pass Yards,192,285
Total Yards,296,343
Fumbles-Lost,1-1,3-3
Turnovers,1,3
Penalties-Yards,9-100,5-35
Third Down Conv.,4-13,3-14
Fourth Down Conv.,0-0,1-2
Time of Possession,26:09,33:51
