Quarter,Time,Tm,Detail,NYG,CLE
2.0,7:03,Giants,Dwayne Harris 13 yard pass from Eli Manning (Robbie Gould kick),7,0
,1:43,Browns,Cody Parkey 20 yard field goal,7,3
,1:13,Giants,Odell Beckham Jr. 32 yard pass from Eli Manning (Robbie Gould kick),14,3
,0:00,Browns,Cody Parkey 25 yard field goal,14,6
4.0,10:58,Giants,Jason Pierre-Paul 43 yard defensive fumble return (Robbie Gould kick failed),20,6
,8:17,Browns,Corey Coleman 21 yard pass from Josh McCown (Cody Parkey kick),20,13
,5:10,Giants,Odell Beckham Jr. 4 yard pass from Eli Manning (Robbie Gould kick),27,13
