Quarter,Time,Tm,Detail,TAM,SFO
1.0,13:02,49ers,Mike Davis 4 yard rush (Phil Dawson kick),0,7
,0:08,49ers,Shaun Draughn 17 yard pass from Colin Kaepernick (Phil Dawson kick),0,14
2.0,10:14,Buccaneers,Mike Evans 4 yard pass from Jameis Winston (Roberto Aguayo kick),7,14
,4:59,Buccaneers,Roberto Aguayo 38 yard field goal,10,14
,0:48,Buccaneers,Russell Shepard 19 yard pass from Jameis Winston (Roberto Aguayo kick),17,14
3.0,10:57,Buccaneers,Roberto Aguayo 37 yard field goal,20,14
,6:24,Buccaneers,Mike Evans 5 yard pass from Jameis Winston (Roberto Aguayo kick),27,14
4.0,8:08,49ers,Phil Dawson 28 yard field goal,27,17
,4:42,Buccaneers,Peyton Barber 44 yard rush (Roberto Aguayo kick),34,17
