Unnamed: 0,TAM,SFO
First Downs,27,20
Rush-Yds-TDs,41-249-1,28-160-1
Cmp-Att-Yd-TD-INT,21-30-269-3-1,16-34-143-1-1
Sacked-Yards,2-5,4-30
Net Pass Yards,264,113
Total Yards,513,273
Fumbles-Lost,2-0,4-2
Turnovers,1,3
Penalties-Yards,7-78,4-31
Third Down Conv.,6-14,6-15
Fourth Down Conv.,0-1,1-1
Time of Possession,33:49,26:11
