Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 54 yards, returned by Corey Grant for 23 yards (tackle by Fitzgerald Toussaint)",0.000,-1.200
1,14:50,1,10,JAX 34,0,0,Leonard Fournette middle for 5 yards (tackle by Stephon Tuitt),1.200,1.330
1,14:17,2,5,JAX 39,0,0,Blake Bortles pass complete short right to Ben Koyack for 21 yards (tackle by Vince Williams and Artie Burns),1.330,2.920
1,13:36,1,10,PIT 40,0,0,Blake Bortles pass complete short middle to Marqise Lee for 13 yards (tackle by Sean Davis),2.920,3.780
1,12:52,1,10,PIT 27,0,0,Blake Bortles pass complete short right to James O'Shaughnessy for 19 yards (tackle by Joe Haden and Vince Williams),3.780,5.370
1,12:13,1,8,PIT 8,0,0,Leonard Fournette left guard for 2 yards (tackle by Sean Davis),5.370,4.950
1,11:32,2,6,PIT 6,0,0,Leonard Fournette middle for 5 yards (tackle by Vince Williams),4.950,5.170
1,10:51,3,1,PIT 1,0,0,Blake Bortles pass incomplete,5.170,3.550
1,10:44,4,1,PIT 1,6,0,"Leonard Fournette middle for 1 yard, touchdown",3.550,7.000
1,10:40,,,PIT 15,7,0,Josh Lambo kicks extra point good,0.000,0.000
1,10:40,,,JAX 35,7,0,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,10:40,1,10,PIT 25,7,0,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,0.610,0.060
1,10:36,2,10,PIT 25,7,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 2 yards (tackle by Paul Posluszny and Telvin Smith),0.060,-0.360
1,9:54,3,8,PIT 27,7,0,Ben Roethlisberger pass complete short right to Eli Rogers for 6 yards (tackle by Telvin Smith),-0.360,-1.180
1,9:12,4,2,PIT 33,7,0,Jordan Berry punts 40 yards,-1.180,-0.740
1,9:00,1,10,JAX 27,7,0,Leonard Fournette left guard for 10 yards (tackle by Vince Williams and Sean Davis),0.740,1.400
1,8:20,1,10,JAX 37,7,0,Blake Bortles pass incomplete short middle intended for Leonard Fournette,1.400,0.860
1,8:06,2,10,JAX 37,7,0,Leonard Fournette right guard for 6 yards (tackle by Sean Davis),0.860,0.960
1,7:20,3,4,JAX 43,7,0,Blake Bortles pass incomplete short middle intended for Allen Hurns (defended by Artie Burns),0.960,-0.520
1,7:13,4,4,JAX 43,7,0,Brad Nortman punts 46 yards,-0.520,0.370
1,7:01,1,10,PIT 11,7,0,Le'Veon Bell left guard for 1 yard (tackle by Calais Campbell),-0.370,-0.710
1,6:23,2,9,PIT 12,7,0,Le'Veon Bell left guard for -2 yards (tackle by Malik Jackson),-0.710,-1.540
1,5:38,3,11,PIT 10,7,0,Ben Roethlisberger pass incomplete short right intended for Vance McDonald is intercepted by Myles Jack at PIT-18,-1.540,-4.370
1,5:31,1,10,PIT 18,13,0,"Leonard Fournette right tackle for 18 yards, touchdown",4.370,7.000
,,,,,,,"JAX challenged the runner was out of bounds ruling, and the original play was overturned.",,
1,5:26,,,PIT 15,14,0,Josh Lambo kicks extra point good,0.000,0.000
1,5:26,,,JAX 35,14,0,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,5:26,1,10,PIT 25,14,0,Le'Veon Bell middle for 20 yards (tackle by Telvin Smith),0.610,1.930
1,4:44,1,10,PIT 45,14,0,Le'Veon Bell right tackle for 1 yard (tackle by Telvin Smith),1.930,1.520
1,4:10,2,9,PIT 46,14,0,Ben Roethlisberger pass complete short left to Antonio Brown for 11 yards (tackle by Jalen Ramsey),1.520,2.720
1,3:28,1,10,JAX 43,14,0,Ben Roethlisberger pass complete short middle to Eli Rogers for 13 yards (tackle by Telvin Smith),2.720,3.580
1,2:44,1,10,JAX 30,14,0,Ben Roethlisberger pass incomplete short left intended for Le'Veon Bell,3.580,3.030
1,2:38,2,10,JAX 30,14,0,Le'Veon Bell left guard for 8 yards (tackle by Barry Church and Myles Jack),3.030,3.400
1,1:57,3,2,JAX 22,14,0,Le'Veon Bell right tackle for 1 yard (tackle by Dante Fowler and Aaron Colvin),3.400,0.000
1,1:12,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,-2.210
1,1:12,4,1,JAX 21,14,0,Le'Veon Bell right tackle for -4 yards (tackle by Jalen Ramsey and Malik Jackson),2.210,-0.610
1,1:07,1,10,JAX 25,14,0,Blake Bortles pass incomplete short right intended for Marqise Lee,0.610,0.060
1,1:01,2,10,JAX 25,14,0,Leonard Fournette middle for 5 yards (tackle by Sean Davis and Vince Williams),0.060,0.040
1,0:24,3,5,JAX 30,14,0,Blake Bortles pass complete short right to Allen Hurns for 12 yards (tackle by Sean Spence),0.040,1.730
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 42,14,0,Blake Bortles right end for 9 yards (tackle by Sean Davis),1.730,2.400
2,14:35,2,1,PIT 49,14,0,"Leonard Fournette left tackle for 16 yards (tackle by Mike Mitchell). Penalty on Leterrius Walton: Defensive Holding, 5 yards",2.400,3.710
2,14:11,1,10,PIT 28,14,0,Blake Bortles left end for 11 yards (tackle by Javon Hargrave),3.710,4.440
2,13:39,1,10,PIT 17,14,0,Blake Bortles pass incomplete short left intended for James O'Shaughnessy (defended by T.J. Watt),4.440,3.850
2,13:33,2,10,PIT 17,14,0,Leonard Fournette left guard for 8 yards (tackle by Bud Dupree and Mike Mitchell),3.850,4.570
2,12:48,3,2,PIT 9,14,0,Leonard Fournette middle for 4 yards (tackle by Vince Williams),4.570,6.060
2,12:13,1,5,PIT 5,14,0,T.J. Yeldon middle for 1 yard (tackle by Bud Dupree and Stephon Tuitt),6.060,5.340
2,11:36,2,4,PIT 4,20,0,"T.J. Yeldon middle for 4 yards, touchdown",5.340,7.000
2,11:31,,,PIT 15,21,0,Josh Lambo kicks extra point good,0.000,0.000
2,11:31,,,JAX 35,21,0,"Josh Lambo kicks off 63 yards, returned by Fitzgerald Toussaint for 34 yards (tackle by Jarrod Wilson)",0.000,-1.330
2,11:23,1,10,PIT 36,21,0,Ben Roethlisberger pass complete short middle to Eli Rogers for 7 yards (tackle by Telvin Smith),1.330,1.740
2,10:48,2,3,PIT 43,21,0,Le'Veon Bell middle for 21 yards (tackle by A.J. Bouye),1.740,3.180
2,10:02,1,10,JAX 36,21,0,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Paul Posluszny),3.180,2.640
2,9:55,2,10,JAX 36,21,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 3 yards (tackle by Telvin Smith),2.640,2.350
2,9:12,3,7,JAX 33,21,0,Ben Roethlisberger pass complete short middle to Eli Rogers for 10 yards (tackle by Barry Church and Malik Jackson),2.350,4.040
2,8:26,1,10,JAX 23,21,6,"Ben Roethlisberger pass complete deep left to Antonio Brown for 23 yards, touchdown",4.040,7.000
2,8:20,,,JAX 15,21,7,Chris Boswell kicks extra point good,0.000,0.000
2,8:20,,,PIT 35,21,7,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
2,8:20,1,10,JAX 25,21,7,Leonard Fournette left tackle for 2 yards (tackle by Sean Davis),0.610,0.330
2,7:40,2,8,JAX 27,21,7,Blake Bortles pass complete short left to Leonard Fournette for 10 yards (tackle by Artie Burns),0.330,1.400
2,7:02,1,10,JAX 37,21,7,T.J. Yeldon left guard for 4 yards (tackle by Sean Spence),1.400,1.400
2,6:25,2,6,JAX 41,21,7,Blake Bortles pass complete short middle to T.J. Yeldon for 4 yards (tackle by T.J. Watt),1.400,1.220
2,5:42,3,2,JAX 45,21,7,Blake Bortles pass complete short left to Marqise Lee for 4 yards (tackle by Artie Burns),1.220,2.190
2,5:04,1,10,JAX 49,21,7,Blake Bortles pass incomplete deep middle intended for Marqise Lee (defended by Joe Haden),2.190,1.650
2,4:56,2,10,JAX 49,21,7,T.J. Yeldon middle for 6 yards (tackle by L.J. Fort and Sean Davis),1.650,1.750
2,4:11,3,4,PIT 45,21,7,Blake Bortles pass incomplete short right intended for Keelan Cole,1.750,0.270
2,4:07,4,4,PIT 45,21,7,"Brad Nortman punts 30 yards, out of bounds. Penalty on Blair Brown: Illegal Use of Hands, 10 yards",0.270,-0.610
2,4:00,1,10,PIT 25,21,7,Ben Roethlisberger pass complete short right to Le'Veon Bell for 17 yards (tackle by Myles Jack),0.610,1.730
2,3:22,1,10,PIT 42,21,7,Ben Roethlisberger pass complete short left to Vance McDonald for 11 yards (tackle by Myles Jack and Tashaun Gipson),1.730,2.460
