Unnamed: 0,JAX,PIT
First Downs,22,28
Rush-Yds-TDs,35-164-4,18-83-1
Cmp-Att-Yd-TD-INT,14-26-214-1-0,37-58-469-5-1
Sacked-Yards,0-0,2-7
Net Pass Yards,214,462
Total Yards,378,545
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,3-40,4-25
Third Down Conv.,8-14,7-16
Fourth Down Conv.,1-1,4-6
Time of Possession,28:50,31:10
