Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Chris Johnson for 18 yards (tackle by Mark Simoneau)",0.000,0.480
1,14:55,1,10,STL 23,0,0,Steven Jackson left tackle for 11 yards (tackle by Michael Lewis),0.480,1.200
1,14:22,1,10,STL 34,0,0,Ryan Fitzpatrick pass incomplete intended for Isaac Bruce,1.200,0.660
1,14:18,2,10,STL 34,0,0,Steven Jackson left tackle for 2 yards (tackle by Jeremiah Trotter),0.660,0.230
1,13:43,3,8,STL 36,0,0,Ryan Fitzpatrick pass complete to Shaun McDonald for 10 yards (tackle by Roderick Hood),0.230,1.990
1,13:08,1,10,STL 46,0,0,Marshall Faulk left end for 2 yards (tackle by Sheldon Brown),1.990,1.720
1,12:29,2,8,STL 48,0,0,Steven Jackson left tackle for 20 yards (tackle by Mike Patterson),1.720,3.450
1,11:49,1,10,PHI 32,0,0,Ryan Fitzpatrick pass incomplete intended for Torry Holt,3.450,2.900
1,11:43,2,10,PHI 32,0,0,Steven Jackson left tackle for 19 yards (tackle by Michael Lewis),2.900,4.710
1,11:12,1,10,PHI 13,0,0,Steven Jackson left guard for 5 yards (tackle by Michael Lewis),4.710,4.960
1,10:36,2,5,PHI 8,0,0,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",4.960,4.050
1,10:18,2,10,PHI 13,0,0,Steven Jackson left end for no gain (tackle by Hollis Thomas),4.050,3.120
1,9:37,3,10,PHI 13,0,0,Steven Jackson up the middle for 5 yards (tackle by Michael Lewis),3.120,2.970
1,8:57,4,5,PHI 8,0,3,Jeff Wilkins 26 yard field goal good,2.970,3.000
1,,,,STL 30,0,3,"Jeff Wilkins kicks off 66 yards, returned by Roderick Hood for 20 yards (tackle by Corey Ivy)",0.000,0.540
1,8:51,1,10,PHI 24,0,3,"Reggie Brown right end for 5 yards (tackle by Trev Faulk). Penalty on Lamar Gordon: Illegal Block Above the , 10 yards",0.540,0.130
1,8:27,1,15,PHI 19,0,3,Mike McMahon pass complete to Billy McMullen for 17 yards (tackle by Corey Ivy),0.130,1.330
1,7:55,1,10,PHI 36,0,3,"Mike McMahon pass incomplete intended for Greg Lewis. Penalty on Adam Archuleta: Defensive Holding, 5 yards (no play)",1.330,1.660
1,7:45,1,10,PHI 41,6,3,"Ryan Moats left guard for 59 yards, touchdown",1.660,7.000
1,,,,STL 2,7,3,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,3,"David Akers kicks off 67 yards, returned by Chris Johnson for 20 yards (tackle by Mark Simoneau)",0.000,0.480
1,7:29,1,10,STL 23,7,3,"Penalty on Claude Terrell: False Start, 5 yards (no play)",0.480,0.000
1,7:29,1,15,STL 18,7,3,Steven Jackson left guard for 4 yards (tackle by Dhani Jones),0.000,-0.200
1,6:55,2,11,STL 22,7,3,Steven Jackson left tackle for 7 yards (tackle by Jevon Kearse),-0.200,0.040
1,6:18,3,4,STL 29,7,3,Ryan Fitzpatrick pass incomplete intended for Torry Holt,0.040,-1.440
1,6:14,4,4,STL 29,7,3,"Bryan Barker punts 39 yards, returned by Reno Mahe for 16 yards (tackle by Dwight Anderson). Penalty on Matt Ware: Offensive Holding, 10 yards",-1.440,-1.470
1,6:04,1,10,PHI 38,7,3,Lamar Gordon left tackle for no gain (tackle by Trev Faulk),1.470,0.920
1,5:26,2,10,PHI 38,7,3,"Mike McMahon pass complete to L.J. Smith for -2 yards (tackle by Jimmy Kennedy). Penalty on Corey Ivy: Roughing the Passer, 15 yards",0.920,2.320
1,5:05,1,10,STL 49,7,3,Ryan Moats left guard for 6 yards (tackle by Leonard Little),2.320,2.590
1,4:29,2,4,STL 43,7,3,"Ryan Moats right end for 9 yards (tackle by Anthony Hargrove). Penalty on Jamaal Jackson: Offensive Holding, 10 yards (no play)",2.590,1.240
1,3:59,2,14,PHI 47,7,3,Mike McMahon pass incomplete intended for Greg Lewis. Penalty on Artis Hicks: Offensive Holding (Declined),1.240,0.560
1,3:53,3,14,PHI 47,7,3,Mike McMahon for 15 yards (tackle by Corey Ivy),0.560,3.050
1,3:11,1,10,STL 38,7,3,Mike McMahon pass incomplete intended for L.J. Smith,3.050,2.510
1,3:04,2,10,STL 38,7,3,Lamar Gordon left guard for 4 yards (tackle by Trev Faulk),2.510,2.340
1,2:23,3,6,STL 34,7,3,"Ryan Moats right end for no gain (tackle by Corey Ivy). Penalty on Reggie Brown: Offensive Holding, 10 yards (no play)",2.340,1.030
1,2:04,3,16,STL 44,7,3,"Mike McMahon sacked by Leonard Little for -4 yards. Mike McMahon fumbles (forced by Leonard Little), recovered by Lamar Gordon at STL-46 and returned for 3 yards",1.030,0.400
1,1:46,4,15,STL 43,7,3,"Sean Landeta punts 43 yards, touchback",0.400,-0.280
1,1:38,1,10,STL 20,7,3,Marshall Faulk up the middle for 5 yards (tackle by Dhani Jones and N.D. Kalu),0.280,0.410
1,1:06,2,5,STL 25,7,3,"Penalty on Claude Terrell: False Start, 5 yards (no play)",0.410,-0.270
1,0:49,2,10,STL 20,7,3,Marshall Faulk up the middle for 6 yards (tackle by Jeremiah Trotter and Keith Adams),-0.270,-0.160
1,0:14,,,,7,3,Timeout #1 by Philadelphia Eagles,0.000,-0.160
1,0:14,3,4,STL 26,7,3,"Ryan Fitzpatrick pass complete to Marshall Faulk for 3 yards (tackle by Donald Strickland). Penalty on Juqua Thomas: Defensive Offside, 5 yards (no play)",-0.160,1.000
Quarter,Time,Down,ToGo,Location,PHI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 31,7,3,Marshall Faulk left end for 1 yard (tackle by Darwin Walker and Mike Patterson),1.000,0.600
2,14:21,2,9,STL 32,7,3,Ryan Fitzpatrick pass complete to Marshall Faulk for 13 yards (tackle by Donald Strickland),0.600,1.930
2,13:51,1,10,STL 45,7,3,Steven Jackson left tackle for -1 yards (tackle by Mike Patterson and Jeremiah Trotter),1.930,1.250
2,13:01,2,11,STL 44,7,3,Ryan Fitzpatrick pass incomplete intended for Torry Holt (defended by Brian Dawkins),1.250,0.560
2,12:56,3,11,STL 44,7,3,Ryan Fitzpatrick pass complete to Shaun McDonald for 7 yards (tackle by Brian Dawkins),0.560,0.000
2,12:21,4,4,PHI 49,7,3,"Bryan Barker punts 35 yards, fair catch by Reno Mahe",0.000,0.280
2,12:14,1,10,PHI 14,7,3,Lamar Gordon right guard for -2 yards (tackle by Corey Ivy),-0.280,-0.930
2,11:38,2,12,PHI 12,7,3,"Penalty on Artis Hicks: False Start, 5 yards (no play)",-0.930,-1.290
2,11:20,2,17,PHI 7,7,3,Mike McMahon pass incomplete intended for Reggie Brown is intercepted by Pisa Tinoisamoa at PHI-25 and returned for 20 yards,-1.290,-6.060
2,11:06,1,5,PHI 5,7,9,"Ryan Fitzpatrick pass complete to Torry Holt for 5 yards, touchdown",6.060,7.000
2,,,,PHI 2,7,10,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,7,10,"Jeff Wilkins kicks off 65 yards, returned by Roderick Hood for 21 yards (tackle by Corey Ivy)",0.000,0.670
2,10:53,1,10,PHI 26,7,10,Mike McMahon pass incomplete intended for L.J. Smith,0.670,0.130
2,10:49,2,10,PHI 26,7,10,Reno Mahe left tackle for 3 yards (tackle by Brandon Chillar),0.130,-0.160
2,10:16,3,7,PHI 29,7,10,Mike McMahon sacked by Corey Ivy for -11 yards,-0.160,-2.240
