#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,8:55,PHI 24,3,1:21,76,Touchdown
2,1,6:04,PHI 38,8,4:26,19,Punt
3,2,12:14,PHI 14,2,1:08,-7,Interception
4,2,11:00,PHI 26,3,1:23,-8,Punt
5,2,6:13,PHI 14,9,4:27,18,Punt
6,2,0:36,PHI 17,1,0:36,1,End of Half
7,3,15:00,PHI 29,3,0:56,-2,Punt
8,3,11:26,PHI 29,2,0:15,5,Fumble
9,3,8:30,STL 43,1,0:16,0,Interception
10,3,6:16,STL 38,7,3:06,25,Field Goal
11,3,2:49,STL 28,6,2:57,28,Touchdown
12,4,13:16,PHI 39,8,3:16,25,Interception
13,4,9:06,PHI 23,3,2:26,1,Punt
14,4,3:14,PHI 39,3,0:26,-8,Punt
15,4,0:53,STL 44,2,0:53,-7,End of Game
