Quarter,Time,Tm,Detail,PHI,STL
1.0,8:55,Rams,Jeff Wilkins 26 yard field goal,0,3
,7:34,Eagles,Ryan Moats 59 yard rush (David Akers kick),7,3
2.0,11:00,Rams,Torry Holt 5 yard pass from Ryan Fitzpatrick (Jeff Wilkins kick),7,10
,6:13,Rams,Jeff Wilkins 53 yard field goal,7,13
3.0,8:30,Rams,Jeff Wilkins 28 yard field goal,7,16
,3:10,Eagles,David Akers 31 yard field goal,10,16
4.0,14:52,Eagles,Mike Bartrum 3 yard pass from Mike McMahon (David Akers kick),17,16
