Unnamed: 0,PHI,STL
First Downs,13,16
Rush-Yds-TDs,28-125-1,36-178-0
Cmp-Att-Yd-TD-INT,15-28-97-1-3,18-35-127-1-1
Sacked-Yards,4-21,0-0
Net Pass Yards,76,127
Total Yards,201,305
Fumbles-Lost,4-1,0-0
Turnovers,4,1
Penalties-Yards,13-115,15-115
Third Down Conv.,5-13,3-16
Fourth Down Conv.,0-0,0-2
Time of Possession,27:52,32:08
