Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Melvin Gordon right guard for 2 yards (tackle by D.J. Reader and Brian Cushing),0.610,0.330
1,14:22,2,8,SDG 27,0,0,Philip Rivers pass complete short left to Tyrell Williams for 4 yards (tackle by A.J. Bouye),0.330,0.170
1,13:41,3,4,SDG 31,0,0,Philip Rivers pass complete short left to Melvin Gordon for 1 yard (tackle by A.J. Bouye),0.170,-1.240
1,13:00,4,3,SDG 32,0,0,"Drew Kaser punts 59 yards, returned by Will Fuller for 9 yards (tackle by Sean McGrath)",-1.240,-0.040
1,12:46,1,10,HOU 18,0,0,Lamar Miller left guard for 6 yards (tackle by Denzel Perryman and Korey Toomer),0.040,0.410
1,12:10,2,4,HOU 24,0,0,Brock Osweiler pass complete short left to DeAndre Hopkins for 19 yards (tackle by Denzel Perryman),0.410,1.800
1,11:43,1,10,HOU 43,0,0,Lamar Miller left guard for 2 yards (tackle by Korey Toomer and Corey Liuget),1.800,1.520
1,11:08,2,8,HOU 45,0,0,Brock Osweiler pass incomplete short right intended for C.J. Fiedorowicz,1.520,0.830
1,11:03,3,8,HOU 45,0,0,"Penalty on Chris Clark: False Start, 5 yards (no play)",0.830,0.170
1,11:03,3,13,HOU 40,0,0,Brock Osweiler pass complete short right to Will Fuller for 7 yards (tackle by Craig Mager and Korey Toomer),0.170,-0.260
1,10:26,4,6,HOU 47,0,0,"Shane Lechler punts 53 yards, touchback",-0.260,-0.280
1,10:18,1,10,SDG 20,0,0,"Philip Rivers pass incomplete short left intended for Tyrell Williams is intercepted by A.J. Bouye at SDG-30. Penalty on A.J. Bouye: Defensive Holding, 5 yards (no play)",0.280,0.610
1,10:10,1,10,SDG 25,0,0,Melvin Gordon left end for 13 yards (tackle by A.J. Bouye and Benardrick McKinney),0.610,1.470
1,9:22,1,10,SDG 38,0,0,Philip Rivers pass complete short left to Tyrell Williams for 14 yards (tackle by A.J. Bouye),1.470,2.390
1,8:46,1,10,HOU 48,0,0,Melvin Gordon middle for -2 yards (tackle by Whitney Mercilus),2.390,1.580
1,8:00,2,12,,0,0,Philip Rivers pass complete short left to Melvin Gordon for 3 yards (tackle by Benardrick McKinney and Joel Heath),1.580,1.290
1,7:14,3,9,HOU 47,0,0,Philip Rivers pass complete short right to Tyrell Williams for 4 yards (tackle by A.J. Bouye),1.290,0.400
1,6:38,4,5,HOU 43,0,0,"Drew Kaser punts 38 yards, fair catch by Will Fuller",0.400,0.380
1,6:29,1,10,HOU 5,0,0,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 8 yards (tackle by Denzel Perryman),-0.380,-0.190
1,5:53,2,2,HOU 13,0,0,Lamar Miller right tackle for 5 yards (tackle by Korey Toomer),-0.190,0.040
1,5:29,1,10,HOU 18,0,0,Brock Osweiler pass incomplete deep middle intended for DeAndre Hopkins (defended by Casey Hayward),0.040,-0.490
1,5:22,2,10,HOU 18,0,0,Lamar Miller right guard for 1 yard (tackle by Joey Bosa and Darius Philon),-0.490,-1.040
1,4:38,3,9,HOU 19,0,0,"Brock Osweiler pass incomplete short middle intended for Stephen Anderson. Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",-1.040,-0.400
1,4:33,3,4,HOU 24,0,0,Brock Osweiler pass complete short right to Lamar Miller for 2 yards (tackle by Korey Toomer),-0.400,-1.630
1,3:53,4,2,HOU 26,0,0,"Shane Lechler punts 53 yards, fair catch by Isaiah Burse",-1.630,-0.340
1,3:44,1,10,SDG 21,0,0,"Penalty on Jadeveon Clowney: Neutral Zone Infraction, 5 yards (no play)",0.340,1.070
1,3:44,1,5,SDG 26,0,0,"Philip Rivers pass incomplete short left intended for Hunter Henry. Penalty on A.J. Bouye: Illegal Use of Hands, 5 yards (no play)",1.070,1.000
1,3:38,1,10,SDG 31,0,0,Kenneth Farrow right guard for -3 yards (tackle by Whitney Mercilus and Andre Hal),1.000,0.060
1,2:54,2,13,SDG 28,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 5 yards (tackle by Max Bullough),0.060,0.040
1,2:09,3,8,SDG 33,0,0,Philip Rivers sacked by Benardrick McKinney for -7 yards,0.040,-1.630
1,1:41,4,15,SDG 26,0,0,"Drew Kaser punts 52 yards, returned by Will Fuller for 6 yards (tackle by Joshua Perry). Will Fuller fumbles (forced by Joshua Perry), recovered by Robert Nelson at HOU-28 (tackle by Sean McGrath)",-1.630,-0.810
1,1:27,1,10,HOU 28,0,0,Akeem Hunt left end for 16 yards (tackle by Jahleel Addae),0.810,1.860
1,0:45,1,10,HOU 44,0,0,Brock Osweiler pass incomplete,1.860,1.320
1,0:36,2,10,HOU 44,0,0,Akeem Hunt middle for 3 yards (tackle by Jahleel Addae),1.320,1.030
Quarter,Time,Down,ToGo,Location,SDG,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,HOU 47,0,0,Brock Osweiler pass complete short right to Stephen Anderson for 8 yards (tackle by Casey Hayward and Craig Mager),1.030,2.590
2,14:23,1,10,SDG 45,0,0,Lamar Miller left end for 2 yards (tackle by Craig Mager and Korey Toomer),2.590,2.310
2,13:40,2,8,SDG 43,0,0,Lamar Miller middle for 4 yards (tackle by Korey Toomer),2.310,0.000
2,13:05,,,,0,0,Timeout #1 by Los Angeles Chargers,0.000,-2.150
2,13:05,3,4,SDG 39,0,0,Brock Osweiler pass complete deep right to Will Fuller for 33 yards (tackle by Craig Mager). Penalty on Joey Bosa: Defensive Offside (Declined),2.150,5.830
2,12:38,1,6,SDG 6,0,0,Lamar Miller right tackle for 1 yard (tackle by Denzel Perryman),5.830,5.150
2,11:58,2,5,SDG 5,0,0,"Brock Osweiler pass incomplete short right intended for DeAndre Hopkins. Penalty on Casey Hayward: Defensive Pass Interference, 3 yards (no play)",5.150,6.740
2,11:53,1,2,SDG 2,0,0,Lamar Miller right tackle for 1 yard (tackle by Joey Bosa),6.740,5.910
2,11:16,2,1,SDG 1,0,6,"Brock Osweiler middle for 1 yard, touchdown",5.910,7.000
2,11:11,,,SDG 15,0,7,Nick Novak kicks extra point good,0.000,0.000
2,11:11,,,HOU 35,0,7,"Nick Novak kicks off 65 yards, returned by Isaiah Burse for 26 yards (tackle by Robert Nelson)",0.000,-0.670
2,11:04,1,10,SDG 26,0,7,"Melvin Gordon right guard for no gain (tackle by Quintin Demps). Penalty on Antonio Smith: Defensive Offside, 5 yards (no play)",0.670,1.400
2,10:34,1,5,SDG 31,0,7,"Melvin Gordon left tackle for 20 yards (tackle by Kareem Jackson). Penalty on Jadeveon Clowney: Defensive Offside (Offsetting), Penalty on Travis Benjamin: Offensive Holding (Offsetting) (no play)",1.400,1.400
2,10:01,1,5,SDG 31,0,7,Philip Rivers pass incomplete short left intended for Hunter Henry,1.400,0.810
2,9:55,2,5,SDG 31,0,7,"Philip Rivers pass incomplete short right intended for Dontrelle Inman. Penalty on A.J. Bouye: Illegal Use of Hands, 5 yards (no play)",0.810,1.330
2,9:48,1,10,SDG 36,0,7,Philip Rivers pass complete short right to Tyrell Williams for 4 yards (tackle by Benardrick McKinney),1.330,1.330
2,9:04,2,6,SDG 40,0,7,Melvin Gordon right tackle for 5 yards (tackle by Benardrick McKinney),1.330,1.290
2,8:21,3,1,SDG 45,0,7,Melvin Gordon right guard for 1 yard (tackle by Whitney Mercilus),1.290,1.990
2,7:36,1,10,SDG 46,0,7,Philip Rivers pass complete short left to Tyrell Williams for 2 yards (tackle by Quintin Demps),1.990,1.720
2,6:52,2,8,SDG 48,6,7,"Philip Rivers pass complete deep left to Dontrelle Inman for 52 yards, touchdown",1.720,7.000
2,6:44,,,HOU 15,7,7,Josh Lambo kicks extra point good,0.000,0.000
2,6:44,,,SDG 35,7,7,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,6:44,1,10,HOU 25,7,7,Brock Osweiler pass complete short left to Will Fuller for 13 yards,0.610,1.470
2,6:08,1,10,HOU 38,7,7,Lamar Miller right guard for 7 yards (tackle by Denzel Perryman),1.470,1.870
