Quarter,Time,Tm,Detail,SDG,HOU
2.0,11:11,Texans,Brock Osweiler 1 yard rush (Nick Novak kick),0,7
,6:44,Chargers,Dontrelle Inman 52 yard pass from Philip Rivers (Josh Lambo kick),7,7
,1:54,Chargers,Tyrell Williams 21 yard pass from Philip Rivers (Josh Lambo kick),14,7
4.0,14:09,Texans,Nick Novak 19 yard field goal,14,10
,9:52,Chargers,Hunter Henry 12 yard pass from Philip Rivers (Josh Lambo kick),21,10
,0:14,Texans,Nick Novak 45 yard field goal,21,13
