Quarter,Time,Tm,Detail,NWE,MIA
1,2:24,Patriots,Adam Vinatieri 25 yard field goal,3,0
2,10:03,Dolphins,Chris Chambers 6 yard pass from Jay Fiedler (Olindo Mare kick),3,7
,5:08,Dolphins,Olindo Mare 23 yard field goal,3,10
,0:02,Patriots,Adam Vinatieri 30 yard field goal,6,10
3,9:46,Dolphins,Olindo Mare 34 yard field goal,6,13
,1:49,Patriots,David Givens 24 yard pass from Tom Brady (Adam Vinatieri kick),13,13
OT,5:45,Patriots,Troy Brown 82 yard pass from Tom Brady,19,13
