Unnamed: 0,SEA,ARI
First Downs,14,24
Rush-Yds-TDs,23-75-0,24-34-1
Cmp-Att-Yd-TD-INT,22-32-238-2-0,24-47-273-1-0
Sacked-Yards,5-26,2-17
Net Pass Yards,212,256
Total Yards,287,290
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,12-108,9-58
Third Down Conv.,3-13,6-15
Fourth Down Conv.,0-0,1-3
Time of Possession,30:53,29:07
