Unnamed: 0,SEA,ARI
First Downs,27,15
Rush-Yds-TDs,34-158-2,21-122-0
Cmp-Att-Yd-TD-INT,26-34-275-2-1,25-35-175-2-0
Sacked-Yards,2-12,5-35
Net Pass Yards,263,140
Total Yards,421,262
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,6-34,12-77
Third Down Conv.,10-15,6-14
Fourth Down Conv.,0-1,0-2
Time of Possession,34:31,25:29
