Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,SFO 20,0,0,Alex Smith pass complete short left to Frank Gore for 7 yards (tackle by Clint Ingram),0.280,0.680
1,14:16,2,3,SFO 27,0,0,Alex Smith pass incomplete short left intended for Frank Gore,0.680,-0.030
1,14:10,3,3,SFO 27,0,0,Alex Smith pass complete short left to Delanie Walker for 21 yards (tackle by Derek Cox),-0.030,2.130
1,13:25,1,10,SFO 48,0,0,Frank Gore middle for 4 yards (tackle by Derrick Harvey),2.130,2.120
1,12:47,2,6,JAX 48,0,0,Alex Smith pass complete short right to Frank Gore for 3 yards (tackle by Tyron Brackenridge),2.120,1.820
1,12:12,3,3,JAX 45,0,0,Alex Smith pass complete short right to Josh Morgan for 11 yards (tackle by Reggie Nelson),1.820,3.310
1,11:43,1,10,JAX 34,0,0,Frank Gore middle for 2 yards (tackle by Terrance Knighton),3.310,3.040
1,10:59,2,8,JAX 32,0,0,Frank Gore right guard for 3 yards (tackle by Anthony Smith),3.040,2.740
1,10:13,3,5,JAX 29,0,0,Alex Smith pass incomplete short left intended for Jason Hill,2.740,1.540
1,10:07,4,5,JAX 29,0,3,Joe Nedney 46 yard field goal good,1.540,3.000
1,,,,SFO 30,0,3,"Joe Nedney kicks off 58 yards, returned by Montell Owens for 17 yards (tackle by Tarell Brown)",0.000,0.870
1,9:57,1,10,JAX 29,0,3,David Garrard pass complete short middle to Torry Holt for 11 yards (tackle by Shawntae Spencer),0.870,1.600
1,9:23,1,10,JAX 40,0,3,Maurice Jones-Drew left tackle for no gain (tackle by Justin Smith),1.600,1.050
1,8:42,2,10,JAX 40,0,3,David Garrard pass complete short right to Maurice Jones-Drew for no gain,1.050,0.370
1,7:59,3,10,JAX 40,0,3,David Garrard pass complete short right to Torry Holt for 8 yards (tackle by Mark Roman),0.370,-0.190
1,7:21,4,2,JAX 48,0,3,"Adam Podlesh punts 44 yards, returned by Brandon Jones for no gain",-0.190,0.380
1,7:09,1,10,SFO 8,0,3,Alex Smith pass complete short middle to Frank Gore for 3 yards (tackle by Daryl Smith),-0.380,-0.560
1,6:28,2,7,SFO 11,0,3,Frank Gore middle for no gain (tackle by Derrick Harvey),-0.560,-1.070
1,5:43,3,7,SFO 11,0,3,Alex Smith pass incomplete short left intended for Michael Crabtree,-1.070,-2.490
1,5:38,4,7,SFO 11,0,3,"Andy Lee punts 54 yards, returned by Brian Witherspoon for 2 yards (tackle by Tarell Brown)",-2.490,-1.400
1,5:27,1,10,JAX 37,0,3,David Garrard pass complete short right to Ernest Wilford for 9 yards (tackle by Patrick Willis),1.400,2.070
1,5:04,2,1,JAX 46,0,3,Maurice Jones-Drew right guard for 7 yards (tackle by Isaac Sopoaga),2.070,2.460
1,4:22,1,10,SFO 47,0,3,"Penalty on Mike Sims-Walker: False Start, 5 yards (no play)",2.460,2.130
1,4:03,1,15,JAX 48,0,3,David Garrard pass complete short left to Mike Thomas for 6 yards (tackle by Dashon Goldson and Shawntae Spencer),2.130,2.050
1,3:19,2,9,SFO 46,0,3,"David Garrard pass incomplete. Penalty on David Garrard: Intentional Grounding, 10 yards",2.050,0.040
1,3:14,3,19,JAX 44,0,3,David Garrard pass complete short left to Marcedes Lewis for 12 yards (tackle by Dashon Goldson),0.040,0.330
1,2:36,4,7,SFO 44,0,3,"Adam Podlesh punts 35 yards, fair catch by Brandon Jones",0.330,0.380
1,2:28,1,10,SFO 9,0,3,"Alex Smith pass complete short left to Vernon Davis for 9 yards (tackle by Reggie Nelson). Penalty on Clint Ingram: Face Mask (15 Yards), 15 yards",-0.380,1.140
1,1:58,1,10,SFO 33,0,3,Alex Smith pass complete short right to Frank Gore for no gain,1.140,0.590
1,1:13,2,10,SFO 33,0,3,Alex Smith pass complete short right to Vernon Davis for 5 yards (tackle by Clint Ingram and Sean Considine),0.590,0.560
1,0:29,3,5,SFO 38,0,3,Alex Smith pass incomplete short middle intended for Vernon Davis,0.560,-0.850
1,0:24,4,5,SFO 38,0,3,"Andy Lee punts 51 yards, returned by Brian Witherspoon for 42 yards (tackle by Ahmad Brooks)",-0.850,-2.460
1,0:10,1,10,SFO 47,0,3,David Garrard pass complete short middle to Maurice Jones-Drew for 17 yards (tackle by Parys Haralson),2.460,3.580
Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 30,0,3,David Garrard pass incomplete deep middle intended for Mike Sims-Walker,3.580,3.030
2,14:55,2,10,SFO 30,0,3,Maurice Jones-Drew left tackle for 1 yard (tackle by Dashon Goldson and Manny Lawson),3.030,2.480
2,14:15,3,9,SFO 29,0,3,David Garrard pass complete short left to Maurice Jones-Drew for 7 yards (tackle by Michael Lewis),2.480,2.120
2,13:53,4,2,SFO 22,0,3,Josh Scobee 40 yard field goal no good,2.120,-0.940
2,13:48,1,10,SFO 30,0,3,Alex Smith pass complete short left to Michael Crabtree for 8 yards (tackle by Reggie Nelson),0.940,1.470
2,13:05,2,2,SFO 38,0,3,Delanie Walker left end for 11 yards (tackle by Reggie Nelson),1.470,2.190
2,12:19,1,10,SFO 49,0,3,Frank Gore middle for 1 yard (tackle by Terrance Knighton and Justin Durant),2.190,1.780
2,11:29,2,9,,0,3,Alex Smith pass complete short left to Vernon Davis for 14 yards (tackle by Anthony Smith). Penalty on Anthony Smith: Illegal Contact (Declined),1.780,3.180
