Unnamed: 0,JAX,SFO
First Downs,18,15
Rush-Yds-TDs,19-96-0,20-52-0
Cmp-Att-Yd-TD-INT,25-36-307-0-0,27-41-232-2-0
Sacked-Yards,6-46,0-0
Net Pass Yards,261,232
Total Yards,357,284
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,6-60,1-5
Third Down Conv.,3-12,8-16
Fourth Down Conv.,1-3,1-1
Time of Possession,29:16,30:44
