Quarter,Time,Tm,Detail,JAX,SFO
1.0,10:03,49ers,Joe Nedney 46 yard field goal,0,3
2.0,8:58,49ers,Vernon Davis 3 yard pass from Alex Smith (Joe Nedney kick),0,10
,0:52,49ers,Frank Gore 4 yard pass from Alex Smith (Joe Nedney kick),0,17
,0:00,Jaguars,Josh Scobee 32 yard field goal,3,17
3.0,7:25,49ers,Joe Nedney 27 yard field goal,3,20
