Unnamed: 0,PHI,NYG
First Downs,23,30
Rush-Yds-TDs,26-120-2,36-208-1
Cmp-Att-Yd-TD-INT,30-38-320-2-1,24-43-302-2-0
Sacked-Yards,1-5,2-8
Net Pass Yards,315,294
Total Yards,435,502
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,3-11,2-10
Third Down Conv.,10-13,7-15
Fourth Down Conv.,0-0,1-2
Time of Possession,28:06,31:54
