Quarter,Time,Tm,Detail,PHI,NYG
1.0,13:10,Eagles,DeMarco Murray 54 yard rush (Caleb Sturgis kick),7,0
,4:07,Giants,Josh Brown 22 yard field goal,7,3
,1:36,Eagles,Darren Sproles 6 yard rush (Caleb Sturgis kick),14,3
2.0,13:48,Giants,Josh Brown 30 yard field goal,14,6
,11:01,Giants,Will Tye 9 yard pass from Eli Manning (Josh Brown kick),14,13
,4:38,Eagles,Jordan Matthews 4 yard pass from Sam Bradford (Caleb Sturgis kick),21,13
,0:13,Giants,Rashad Jennings 2 yard rush (Josh Brown kick),21,20
3.0,9:11,Giants,Rueben Randle 45 yard pass from Eli Manning (Josh Brown kick),21,27
,3:34,Eagles,Walter Thurmond 83 yard defensive fumble return (Caleb Sturgis kick),28,27
4.0,9:19,Eagles,Jordan Matthews 3 yard pass from Sam Bradford (Caleb Sturgis kick),35,27
,4:30,Giants,Josh Brown 48 yard field goal,35,30
