Unnamed: 0,DET,MIN
First Downs,28,19
Rush-Yds-TDs,36-143-3,11-17-1
Cmp-Att-Yd-TD-INT,30-40-257-1-0,22-36-411-2-4
Sacked-Yards,1-11,4-38
Net Pass Yards,246,373
Total Yards,389,390
Fumbles-Lost,2-1,2-0
Turnovers,1,4
Penalties-Yards,9-52,8-64
Third Down Conv.,6-12,3-9
Fourth Down Conv.,2-2,0-1
Time of Possession,38:22,21:38
