Quarter,Time,Tm,Detail,DET,MIN
1.0,7:13,Lions,David Montgomery 1 yard rush (Michael Badgley kick),7,0
,2:51,Vikings,Ty Chandler 2 yard rush (Greg Joseph kick),7,7
2.0,5:05,Lions,Michael Badgley 37 yard field goal,10,7
,1:48,Lions,Jahmyr Gibbs 14 yard rush (Michael Badgley kick),17,7
,0:29,Vikings,Justin Jefferson 26 yard pass from Nick Mullens (Greg Joseph kick),17,14
3.0,11:56,Vikings,K.J. Osborn 6 yard pass from Nick Mullens (Greg Joseph kick),17,21
,4:38,Lions,Amon-Ra St. Brown 1 yard pass from Jared Goff (Michael Badgley kick failed),23,21
4.0,11:07,Lions,Jahmyr Gibbs 3 yard rush (Michael Badgley kick),30,21
,5:19,Vikings,Greg Joseph 26 yard field goal,30,24
