Quarter,Time,Down,ToGo,Location,DEN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,0.610,0.060
1,14:56,2,10,SDG 25,0,0,Philip Rivers pass complete short left to Travis Benjamin for 8 yards (tackle by Chris Harris),0.060,0.430
1,14:21,3,2,SDG 33,0,0,Philip Rivers pass complete short right to Antonio Gates for 6 yards (tackle by Darian Stewart),0.430,1.530
1,13:36,1,10,SDG 39,0,0,Melvin Gordon middle for 3 yards (tackle by Brandon Marshall and Sylvester Williams),1.530,1.390
1,12:56,2,7,SDG 42,0,0,Philip Rivers pass complete deep left to Tyrell Williams for 18 yards,1.390,2.920
1,12:22,1,10,DEN 40,0,0,Melvin Gordon left tackle for 2 yards (tackle by Billy Winn),2.920,2.640
1,11:38,2,8,DEN 38,0,0,Philip Rivers pass incomplete deep left intended for Travis Benjamin (defended by Bradley Roby),2.640,1.950
1,11:32,3,8,DEN 38,0,0,Philip Rivers pass complete short right to Antonio Gates for 10 yards (tackle by T.J. Ward),1.950,3.710
1,10:52,1,10,DEN 28,0,0,"Melvin Gordon right guard for no gain (tackle by Brandon Marshall). Penalty on Dontrelle Inman: Illegal Shift, 5 yards (no play)",3.710,3.380
1,10:24,1,15,DEN 33,0,0,"Philip Rivers pass complete short middle to Dexter McCluster for 20 yards (tackle by Aqib Talib). Penalty on Hunter Henry: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
1,9:52,1,25,DEN 43,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 11 yards (tackle by Chris Harris),2.720,2.630
1,9:23,2,14,DEN 32,0,0,Philip Rivers pass complete short right to Hunter Henry for 27 yards (tackle by Darian Stewart),2.630,6.060
1,8:46,1,5,DEN 5,0,0,Melvin Gordon right end for no gain (tackle by T.J. Ward),6.060,5.150
1,8:06,2,5,DEN 5,0,6,"Philip Rivers pass complete short middle to Hunter Henry for 5 yards, touchdown",5.150,7.000
1,8:06,,,DEN 5,0,7,Josh Lambo kicks extra point good,0.000,0.000
1,8:06,,,SDG 35,0,7,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,8:00,1,10,DEN 25,0,7,Trevor Siemian pass complete short right to Emmanuel Sanders for 6 yards (tackle by Steve Williams),0.610,0.870
1,7:44,2,4,DEN 31,0,7,C.J. Anderson right tackle for 6 yards (tackle by Jatavis Brown),0.870,1.400
1,7:09,1,10,DEN 37,0,7,C.J. Anderson right tackle for no gain (tackle by Jatavis Brown),1.400,0.860
1,6:33,2,10,DEN 37,0,7,Trevor Siemian pass incomplete deep left intended for Emmanuel Sanders,0.860,0.170
1,6:25,3,10,DEN 37,0,7,Trevor Siemian pass complete short left to Jordan Norwood for 9 yards (tackle by Denzel Perryman),0.170,-0.320
1,5:48,4,1,DEN 46,0,7,Riley Dixon punts 48 yards,-0.320,0.380
1,5:38,1,10,SDG 6,0,7,Melvin Gordon right guard for 3 yards (tackle by Derek Wolfe and Jared Crick),-0.380,-0.560
1,4:56,2,7,SDG 9,0,7,"Philip Rivers pass incomplete short left intended for Travis Benjamin. Penalty on Von Miller: Defensive Offside, 5 yards (no play)",-0.560,-0.170
1,4:49,2,2,SDG 14,0,7,Melvin Gordon left guard for 3 yards (tackle by Shane Ray and Brandon Marshall),-0.170,-0.060
1,4:07,1,10,SDG 17,0,7,Philip Rivers pass complete short right to Derek Watt for 8 yards (tackle by T.J. Ward and Todd Davis),-0.060,0.620
1,3:24,2,2,SDG 25,0,7,Melvin Gordon middle for 2 yards (tackle by Jared Crick),0.620,0.620
1,2:37,2,2,SDG 25,0,7,Timeout #1 by Los Angeles Chargers,0.620,0.740
1,2:37,1,10,SDG 27,0,7,Philip Rivers pass complete deep middle to Hunter Henry for 20 yards (tackle by T.J. Ward),0.740,2.060
1,1:58,1,10,SDG 47,0,7,Melvin Gordon left tackle for -2 yards (tackle by Shaquil Barrett),2.060,1.250
1,1:16,2,12,SDG 45,0,7,Melvin Gordon left end for 7 yards (tackle by Brandon Marshall),1.250,1.490
1,0:34,3,5,DEN 48,0,7,Philip Rivers pass complete short left to Travis Benjamin for 6 yards (tackle by Bradley Roby),1.490,2.790
Quarter,Time,Down,ToGo,Location,DEN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 42,0,7,Melvin Gordon middle for 1 yard (tackle by Derek Wolfe and Jared Crick),2.790,2.380
2,14:20,2,9,DEN 41,0,7,Philip Rivers pass complete short right to Hunter Henry for 12 yards (tackle by T.J. Ward and Sylvester Williams),2.380,3.640
2,13:36,1,10,DEN 29,0,7,Melvin Gordon right end for -1 yards (tackle by Sylvester Williams),3.640,2.970
2,12:51,2,11,DEN 30,0,7,Philip Rivers pass incomplete short left intended for Travis Benjamin (defended by Bradley Roby),2.970,2.280
2,12:45,3,11,DEN 30,0,7,Philip Rivers pass complete short right to Dexter McCluster for 10 yards (tackle by Brandon Marshall),2.280,2.270
2,12:05,4,1,DEN 20,0,7,Melvin Gordon middle for 1 yard (tackle by Von Miller),2.270,4.310
2,11:11,1,10,DEN 19,0,7,Philip Rivers pass incomplete short right intended for Melvin Gordon,4.310,3.750
2,11:05,2,10,DEN 19,0,7,Philip Rivers pass incomplete deep right intended for Hunter Henry,3.750,3.030
2,10:59,3,10,DEN 19,0,7,Philip Rivers sacked by Von Miller for 0 yards,3.030,2.180
2,10:35,4,10,DEN 19,0,10,Josh Lambo 37 yard field goal good,2.180,3.000
2,10:35,,,SDG 35,0,10,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,10:35,1,10,DEN 25,0,10,C.J. Anderson left tackle for 2 yards (tackle by Caraun Reid),0.610,0.330
2,9:59,2,8,DEN 27,0,10,Trevor Siemian pass complete short right to Jordan Norwood for 3 yards (tackle by Casey Hayward),0.330,0.040
2,9:16,3,5,DEN 30,0,10,Trevor Siemian pass complete short middle to Jordan Norwood for 9 yards (tackle by Craig Mager),0.040,1.530
2,8:40,1,10,DEN 39,0,10,Devontae Booker right end for 3 yards (tackle by Brandon Mebane),1.530,1.390
2,8:08,2,7,DEN 42,0,10,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders,1.390,0.700
2,8:04,3,7,DEN 42,0,10,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,0.700,-0.590
2,7:59,4,7,DEN 42,0,10,"Riley Dixon punts 47 yards, muffed catch by Travis Benjamin, recovered by Will Parks and returned for no gain",-0.590,4.840
,,,,,,,"DEN challenged the kick downed ruling, and the original play was overturned.",,
2,7:48,1,10,SDG 11,0,10,C.J. Anderson right end for -4 yards (tackle by Denzel Perryman),4.840,3.560
2,7:11,2,14,SDG 15,0,10,Trevor Siemian pass complete short right to Demaryius Thomas for 3 yards (tackle by Melvin Ingram),3.560,3.110
2,6:27,3,11,SDG 12,0,10,Trevor Siemian middle for 1 yard (tackle by Joey Bosa),3.110,2.700
2,5:44,4,10,SDG 11,3,10,Brandon McManus 29 yard field goal good,2.700,3.000
2,5:44,,,DEN 35,3,10,"Brandon McManus kicks off 55 yards, returned by Griff Whalen for 12 yards (tackle by Will Parks)",0.000,-0.410
2,5:35,1,10,SDG 22,3,10,Melvin Gordon middle for 1 yard (tackle by Von Miller),0.410,0.000
2,4:55,2,9,SDG 23,3,10,Philip Rivers pass complete short left to Hunter Henry for 4 yards (tackle by T.J. Ward),0.000,-0.160
2,4:14,3,5,SDG 27,3,10,Philip Rivers pass complete short right to Travis Benjamin for 3 yards (tackle by Aqib Talib),-0.160,-1.370
2,3:43,4,2,SDG 30,3,10,"Drew Kaser punts 60 yards, returned by Jordan Norwood for 6 yards (tackle by Korey Toomer)",-1.370,0.140
2,3:28,1,10,DEN 16,3,10,Trevor Siemian pass incomplete deep right intended for Bennie Fowler,-0.140,-0.660
2,3:19,2,10,DEN 16,3,10,Trevor Siemian pass incomplete short middle intended for Bennie Fowler,-0.660,-1.320
2,3:15,3,10,DEN 16,3,10,Trevor Siemian pass complete short left to C.J. Anderson for 9 yards (tackle by Jatavis Brown and Craig Mager),-1.320,-1.700
2,2:28,4,1,DEN 25,3,10,"Riley Dixon punts 42 yards, returned by Dexter McCluster for 16 yards (tackle by Casey Kreiter)",-1.700,-2.190
2,2:17,1,10,SDG 49,3,10,Melvin Gordon left end for 3 yards (tackle by Shane Ray),2.190,2.050
2,2:00,2,7,DEN 48,3,10,Melvin Gordon right tackle for 2 yards (tackle by Chris Harris and Derek Wolfe),2.050,1.620
2,1:17,3,5,DEN 46,3,10,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.620,0.200
2,1:12,4,5,DEN 46,3,10,"Drew Kaser punts 36 yards, fair catch by Jordan Norwood",0.200,0.380
2,1:05,1,10,DEN 10,3,10,"C.J. Anderson middle for 15 yards (tackle by Jatavis Brown). Penalty on Max Garcia: Offensive Holding, 5 yards (no play)",-0.380,-0.570
2,0:57,1,15,DEN 5,3,10,C.J. Anderson middle for 3 yards (tackle by Denzel Perryman and Dwight Lowery),-0.570,-0.570
2,0:50,1,15,DEN 5,3,10,Timeout #2 by Los Angeles Chargers,-0.570,-0.930
2,0:50,2,12,DEN 8,3,10,C.J. Anderson middle for 5 yards (tackle by Jatavis Brown and Corey Liuget),-0.930,-0.930
2,0:45,2,12,DEN 8,3,10,Timeout #3 by Los Angeles Chargers,-0.930,-1.070
2,0:45,3,7,DEN 13,3,10,Devontae Booker right tackle for 5 yards (tackle by Melvin Ingram),-1.070,-2.240
Quarter,Time,Down,ToGo,Location,DEN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,3,10,"Josh Lambo kicks off 67 yards, returned by Jordan Norwood for 19 yards (tackle by Joshua Perry)",0.000,-0.060
3,14:55,1,10,DEN 17,3,10,C.J. Anderson right tackle for -2 yards (tackle by Melvin Ingram and Kyle Emanuel),-0.060,-0.850
3,14:13,2,12,DEN 15,3,10,Trevor Siemian pass complete short left to Demaryius Thomas for 6 yards (tackle by Casey Hayward),-0.850,-0.750
3,13:31,3,6,DEN 21,3,10,"Trevor Siemian pass incomplete short left intended for Demaryius Thomas. Penalty on Donald Stephenson: False Start, 5 yards (no play)",-0.750,-1.410
3,13:10,3,11,DEN 16,3,10,Trevor Siemian pass incomplete short left intended for Virgil Green,-1.410,-2.390
3,13:03,4,11,DEN 16,3,10,"Riley Dixon punts 42 yards, returned by Dexter McCluster for 4 yards (tackle by Kayvon Webster)",-2.390,-1.990
3,12:51,1,10,SDG 46,3,10,Melvin Gordon left tackle for 48 yards (tackle by Chris Harris and Darian Stewart),1.990,5.830
3,12:00,1,6,DEN 6,3,10,Philip Rivers pass complete short left to Tyrell Williams for 4 yards (tackle by Chris Harris),5.830,5.720
3,11:20,2,2,DEN 2,3,10,Melvin Gordon right tackle for -1 yards (tackle by Brandon Marshall),5.720,4.720
3,10:50,3,3,DEN 3,3,10,Philip Rivers pass incomplete short right intended for Griff Whalen (defended by Kayvon Webster),4.720,3.040
3,10:44,4,3,DEN 3,3,13,Josh Lambo 21 yard field goal good,3.040,3.000
3,10:44,,,SDG 35,3,13,"Josh Lambo kicks off 68 yards, returned by Jordan Norwood for 27 yards (tackle by Kyle Emanuel)",0.000,-0.540
3,10:35,1,10,DEN 24,3,13,Trevor Siemian pass complete short right to Demaryius Thomas for 7 yards (tackle by Brandon Mebane),0.540,0.940
3,9:58,2,3,DEN 31,3,13,Devontae Booker middle for 5 yards (tackle by Jatavis Brown),0.940,1.330
3,9:31,1,10,DEN 36,3,13,Trevor Siemian pass incomplete deep right intended for Demaryius Thomas,1.330,0.790
3,9:27,2,10,DEN 36,3,13,"Trevor Siemian pass complete short right to Jordan Taylor for 1 yard (tackle by Korey Toomer). Jordan Taylor fumbles (forced by Korey Toomer), recovered by Korey Toomer at DEN-37 and returned for 2 yards (tackle by Donald Stephenson). Penalty on Donald Stephenson: Unnecessary Roughness, 15 yards",0.790,-4.240
3,9:15,1,10,DEN 20,3,13,Melvin Gordon right end for 2 yards (tackle by Aqib Talib),4.240,3.960
3,8:40,2,8,DEN 18,3,13,Melvin Gordon right tackle for no gain (tackle by Von Miller),3.960,3.220
3,7:59,3,8,DEN 18,3,13,Philip Rivers pass complete short right to Dexter McCluster for 5 yards (tackle by Will Parks),3.220,2.670
3,7:19,4,3,DEN 13,3,16,Josh Lambo 31 yard field goal good,2.670,3.000
3,7:19,,,SDG 35,3,16,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,7:15,1,10,DEN 25,3,16,Trevor Siemian pass incomplete short right intended for Bennie Fowler,0.610,0.060
3,7:09,2,10,DEN 25,3,16,Trevor Siemian pass incomplete short middle intended for Demaryius Thomas,0.060,-0.620
3,7:04,3,10,DEN 25,3,16,Trevor Siemian pass complete short right to John Phillips for 5 yards (tackle by Korey Toomer),-0.620,-1.370
3,6:34,4,5,DEN 30,3,16,"Riley Dixon punts 42 yards, returned by Dexter McCluster for 8 yards (tackle by Corey Nelson)",-1.370,-1.330
3,6:22,1,10,SDG 36,3,16,Philip Rivers pass incomplete short left intended for Hunter Henry,1.330,0.790
3,6:17,2,10,SDG 36,3,16,"Philip Rivers pass complete short middle to Hunter Henry for 15 yards (tackle by Darian Stewart). Penalty on Derek Wolfe: Roughing the Passer, 15 yards",0.790,3.310
3,5:40,1,10,DEN 34,3,16,"Melvin Gordon right end for 1 yard (tackle by Jared Crick). Penalty on Sean McGrath: Illegal Formation, 5 yards (no play)",3.310,2.980
3,5:14,1,15,DEN 39,3,16,Melvin Gordon middle for 4 yards (tackle by Von Miller and Todd Davis),2.980,2.640
3,4:30,2,11,DEN 35,3,16,Philip Rivers pass incomplete short left intended for Melvin Gordon,2.640,1.950
3,4:25,3,11,DEN 35,3,16,"Philip Rivers pass incomplete deep right intended for Travis Benjamin. Penalty on Aqib Talib: Defensive Pass Interference, 15 yards (no play)",1.950,4.240
3,4:18,1,10,DEN 20,3,16,Philip Rivers pass incomplete short right intended for Antonio Gates,4.240,3.690
3,4:13,2,10,DEN 20,3,16,Philip Rivers pass incomplete short left intended for Antonio Gates,3.690,3.010
3,4:07,3,10,DEN 20,3,16,Philip Rivers pass complete short middle to Tyrell Williams for 6 yards (tackle by Chris Harris),3.010,2.580
