Unnamed: 0,DEN,SDG
First Downs,16,16
Rush-Yds-TDs,16-84-0,29-99-0
Cmp-Att-Yd-TD-INT,30-50-230-1-0,18-29-178-1-0
Sacked-Yards,2-10,2-12
Net Pass Yards,220,166
Total Yards,304,265
Fumbles-Lost,2-2,2-2
Turnovers,2,2
Penalties-Yards,12-103,3-20
Third Down Conv.,6-15,3-13
Fourth Down Conv.,0-1,1-1
Time of Possession,26:32,33:28
