Quarter,Time,Tm,Detail,DEN,SDG
1.0,8:00,Chargers,Hunter Henry 5 yard pass from Philip Rivers (Josh Lambo kick),0,7
2.0,10:35,Chargers,Josh Lambo 37 yard field goal,0,10
,5:40,Broncos,Brandon McManus 29 yard field goal,3,10
3.0,10:41,Chargers,Josh Lambo 21 yard field goal,3,13
,7:15,Chargers,Josh Lambo 31 yard field goal,3,16
,3:31,Chargers,Josh Lambo 32 yard field goal,3,19
4.0,11:59,Chargers,"Safety, Russell Okung penalty in end zone",3,21
,8:08,Broncos,Bennie Fowler 5 yard pass from Trevor Siemian (Brandon McManus kick),10,21
,0:27,Broncos,Brandon McManus 46 yard field goal,13,21
