Quarter,Time,Tm,Detail,HOU,PIT
1.0,8:55,Steelers,Chris Boswell 33 yard field goal,0,3
,6:01,Texans,Randall Cobb 28 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,3
2.0,11:32,Texans,David Johnson 2 yard rush (Ka'imi Fairbairn kick),14,3
,5:05,Steelers,Eric Ebron 10 yard pass from Ben Roethlisberger (Chris Boswell kick),14,10
,1:14,Steelers,JuJu Smith-Schuster 26 yard pass from Ben Roethlisberger (Chris Boswell kick),14,17
,0:24,Texans,Will Fuller 14 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,17
3.0,9:54,Steelers,Chris Boswell 26 yard field goal,21,20
4.0,6:24,Steelers,James Conner 12 yard rush (JuJu Smith-Schuster pass from Ben Roethlisberger),21,28
