0,1
Game Info,Game Info
Won Toss,Steelers (deferred)
Roof,outdoors
Surface,grass
Duration,2:57
Weather,"79 degrees, relative humidity 69%, wind 6 mph"
Vegas Line,Pittsburgh Steelers -3.5
Over/Under,46.5 (over)
