Quarter,Time,Tm,Detail,TAM,ARI
1.0,9:06,Cardinals,Neil Rackers 40 yard field goal,0,3
2.0,0:03,Cardinals,Neil Rackers 45 yard field goal,0,6
3.0,1:24,Buccaneers,Michael Clayton 75 yard pass from Chris Simms (Jay Taylor kick),7,6
4.0,11:07,Cardinals,Neil Rackers 39 yard field goal,7,9
,6:12,Cardinals,Neil Rackers 31 yard field goal,7,12
