Unnamed: 0,TAM,ARI
First Downs,11,12
Rush-Yds-TDs,21-62-0,34-107-0
Cmp-Att-Yd-TD-INT,16-32-224-1-2,16-36-115-0-1
Sacked-Yards,4-37,0-0
Net Pass Yards,187,115
Total Yards,249,222
Fumbles-Lost,2-2,1-0
Turnovers,4,1
Penalties-Yards,8-63,10-70
Third Down Conv.,2-11,3-18
Fourth Down Conv.,0-1,0-0
Time of Possession,26:11,33:49
