Quarter,Time,Down,ToGo,Location,TAM,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,TAM 20,0,0,Michael Pittman up the middle for 1 yard (tackle by Ross Kolodziej and Russell Davis),0.280,-0.130
1,15:00,2,9,TAM 21,0,0,"Penalty on Todd Steussie: False Start, 5 yards (no play)",-0.130,-0.940
1,14:02,2,14,TAM 16,0,0,Michael Pittman left guard for 5 yards (tackle by James Darling and David Macklin),-0.940,-0.820
1,14:02,3,9,TAM 21,0,0,"Penalty on Matt Stinchcomb: False Start, 5 yards (no play)",-0.820,-1.690
1,13:09,3,14,TAM 16,0,0,Michael Pittman up the middle for 5 yards (tackle by James Darling),-1.690,-1.960
1,12:55,4,9,TAM 21,0,0,"Josh Bidwell punts 51 yards, returned by Karl Williams for 2 yards (tackle by Corey Ivy)",-1.960,-0.940
1,12:21,1,10,ARI 30,0,0,Josh McCown pass complete to Anquan Boldin for 8 yards (tackle by Mario Edwards),0.940,1.470
1,11:42,2,2,ARI 38,0,0,Emmitt Smith up the middle for 1 yard (tackle by Derrick Brooks),1.470,0.890
1,11:02,3,1,ARI 39,0,0,Obafemi Ayanbadejo left tackle for 23 yards (tackle by Dwight Smith),0.890,3.050
1,10:32,1,10,TAM 38,0,0,Josh McCown pass complete to Anquan Boldin for 11 yards (tackle by Ronde Barber),3.050,3.780
1,9:59,1,10,TAM 27,0,0,Josh McCown pass incomplete intended for Freddie Jones,3.780,3.230
1,9:55,2,10,TAM 27,0,0,Emmitt Smith right tackle for 4 yards (tackle by Dwight Smith),3.230,3.070
1,9:18,3,6,TAM 23,0,0,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Brian Kelly),3.070,1.950
1,9:11,4,6,TAM 23,0,3,Neil Rackers 40 yard field goal good,1.950,3.000
1,,,,ARI 30,0,3,"Neil Rackers kicks off 74 yards, touchback",0.000,0.280
1,9:06,1,10,TAM 20,0,3,Chris Simms pass incomplete intended for Michael Clayton,0.280,-0.270
1,9:01,2,10,TAM 20,0,3,Chris Simms pass incomplete intended for Michael Clayton,-0.270,-0.960
1,8:56,3,10,TAM 20,0,3,Chris Simms pass complete to Michael Pittman for 10 yards (tackle by Karlos Dansby),-0.960,0.940
1,8:09,1,10,TAM 30,0,3,Chris Simms pass complete to Nate Lawrie for 15 yards (tackle by Adrian Wilson),0.940,1.930
1,7:39,1,10,TAM 45,0,3,Chris Simms pass incomplete intended for Michael Pittman,1.930,1.380
1,7:34,2,10,TAM 45,0,3,Michael Pittman right tackle for -2 yards (tackle by Darnell Dockett and Adrian Wilson),1.380,0.430
1,6:55,3,12,TAM 43,0,3,Chris Simms pass complete to Michael Pittman for 20 yards (tackle by David Macklin),0.430,3.120
1,6:19,1,10,ARI 37,0,3,"Earnest Graham right guard for 5 yards (tackle by Peppi Zellner). Penalty on Derrick Deese: Illegal Formation, 5 yards (no play)",3.120,2.790
