Quarter,Time,Tm,Detail,TAM,PHI
2,11:51,Buccaneers,Martin Gramatica 23 yard field goal,3,0
3,3:22,Buccaneers,Joe Jurevicius 13 yard pass from Brad Johnson (Martin Gramatica kick),10,0
4,7:32,Buccaneers,Joe Jurevicius 7 yard pass from Brad Johnson (Martin Gramatica kick),17,0
