Unnamed: 0,TAM,PHI
First Downs,19,13
Rush-Yds-TDs,31-90-0,16-121-0
Cmp-Att-Yd-TD-INT,27-36-238-2-1,19-37-148-0-1
Sacked-Yards,0-0,3-24
Net Pass Yards,238,124
Total Yards,328,245
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-64,3-25
Third Down Conv.,9-17,2-11
Fourth Down Conv.,0-0,0-2
Time of Possession,37:39,22:21
