Quarter,Time,Tm,Detail,DEN,OAK
1.0,2:07,Broncos,Brandon Marshall 2 yard pass from Kyle Orton (Matt Prater kick),7,0
,0:00,Broncos,Matt Prater 48 yard field goal,10,0
2.0,6:37,Raiders,Sebastian Janikowski 48 yard field goal,10,3
,1:09,Broncos,Matt Prater 21 yard field goal,13,3
3.0,10:57,Broncos,Knowshon Moreno 7 yard rush (Matt Prater kick),20,3
4.0,11:57,Broncos,Matt Prater 24 yard field goal,23,3
