Unnamed: 0,DEN,OAK
First Downs,21,9
Rush-Yds-TDs,45-215-1,23-95-0
Cmp-Att-Yd-TD-INT,13-23-157-1-0,12-21-61-0-2
Sacked-Yards,0-0,3-19
Net Pass Yards,157,42
Total Yards,372,137
Fumbles-Lost,1-1,3-1
Turnovers,1,3
Penalties-Yards,5-30,6-53
Third Down Conv.,5-12,3-10
Fourth Down Conv.,1-2,1-2
Time of Possession,36:15,23:45
